word,score,count
좋다,0.2712787144067131,15
깨끗하다,0.19555026668134026,7
숙소,0.16447472167432026,10
되어다,0.15702428836297208,9
전주,0.15508374727373575,7
지내다,0.14172193029958635,5
즐겁다,0.13448299554599324,3
간식,0.1287245470794155,3
다음,0.12397584745818963,5
펜션,0.1161461852245341,4
마을,0.10721370909469682,6
주차,0.10367809042627982,5
웰컴,0.10140121427804563,5
와인,0.09814260828406077,4
주차장,0.09806376053276158,4
방문,0.0867378321009758,4
독채,0.08657941860530813,4
자다,0.08623669563466937,4
음료,0.0835884593770451,3
준비,0.07996287205571859,4
편하다,0.07332776856108247,3
조용하다,0.07163625311723006,3
깔끔하다,0.07033591661787691,3
위치,0.06857101834904808,3
