word,score,count
좋다,0.10335956937844903,1342
매우,0.055589855209398256,486
자다,0.05432264936057466,474
깔끔하다,0.053363213034773566,354
깨끗하다,0.04801488813599785,326
전주,0.045163375685175776,549
마을,0.04107304897944203,463
친절하다,0.04086442852899534,294
호텔,0.0393638057154451,487
숙소,0.03897305954853019,323
방문,0.03436221831231525,313
직원,0.032845801261353065,279
편안하다,0.030224225408349528,179
객실,0.03003598094148004,292
위치,0.029865314472786217,229
조식,0.025633802099642056,217
괜찮다,0.024418543814049263,164
여행,0.024340682710821546,222
가깝다,0.024243608990191134,181
거리,0.024223842480747257,215
다음,0.02370904432224311,195
시설,0.023667718460827398,153
만족스럽다,0.023332780109778937,148
만족하다,0.02208325170252195,134
주차,0.02190648296092437,206
아쉽다,0.021178886539530605,184
침대,0.020586061421469896,191
되어다,0.02056857509728609,225
도보,0.02020708994466114,201
편하다,0.019784699599523448,110
편리하다,0.019397053148554923,173
모두,0.017714712131730634,127
많다,0.017144034958839385,172
주차장,0.016937854950561926,165
가격,0.016572415869625972,107
불편하다,0.01606583949606317,149
컨디션,0.016064813236237964,95
가성,0.015889251805727287,97
침구,0.0153880928049511,113
조용하다,0.0152786515889913,87
청결하다,0.014810722058017043,79
상태,0.014514473400051759,102
주변,0.01401365617094497,122
넓다,0.013850850022195944,105
엘리베이터,0.01370184163539288,111
맛있다,0.01342346206999867,71
다만,0.01338855493247395,111
정도,0.01326991086433409,116
예약,0.013156646571061113,115
다시,0.013033253594659322,106
생각,0.012929977252227463,101
좁다,0.012699574498806581,78
추천,0.012570896616832793,85
근처,0.012541275561948971,93
쉬다,0.012509960582055031,58
체크,0.012084565926857343,133
서비스,0.012043994928050443,73
숙박,0.01197101555817624,76
공간,0.011948178831308838,87
가족,0.011629633747287366,88
의사,0.01145890676125002,73
맛집,0.011022356756357219,79
최고,0.010820970164708378,47
갈다,0.01076121446390028,63
가능하다,0.010500370107934675,103
묵다,0.010285832932547345,62
방음,0.010226103741947799,70
출장,0.010042731334052528,45
편의점,0.010003193655760306,81
청결,0.00988506128700554,66
화장실,0.009854148183013726,83
수건,0.009814820144791677,77
이동,0.009712092363896715,80
작다,0.009609324151104931,61
먹다,0.009514955413557175,86
시간,0.009455630097951102,91
접근성,0.009382242491221946,50
쾌적하다,0.009368454896086805,44
다소,0.009278804254858577,69
걸다,0.009040200741099342,67
푹신하다,0.009003967124968915,60
프런트,0.008918705287526509,65
청소,0.008764767550943702,61
체크아웃,0.008416503418072034,79
다른,0.008412462064604742,68
저렴하다,0.00837687224600895,48
전체,0.008246120678476599,50
감사하다,0.008213449188745853,36
사용,0.008107020399098835,63
예정,0.007942166195274086,41
지내다,0.007919755768118531,44
아이,0.007873377705284006,52
항상,0.00769256887339195,27
소리,0.007660667224825385,59
걸어가다,0.00757909445971819,45
웨스턴,0.007558796581050572,74
크다,0.007470052089593749,73
에어컨,0.007451669683575367,57
내부,0.007426925200654513,44
베스트,0.007396730896637945,73
시내,0.007302794087484051,47
마음,0.007294857706021001,37
보내다,0.00725808819250374,39
처음,0.0071988100521446306,49
지하,0.007197960889508498,70
제공,0.00713691629253956,60
기분,0.007113884531104079,49
대비,0.006980990536470271,33
찾다,0.006961827447375372,52
나오다,0.006899313473073156,53
멀다,0.00687282019515026,45
머물다,0.006787791848388445,38
모든,0.006620729291338114,28
냄새,0.0065904363960246955,35
객리,0.006558148722874387,40
선택,0.006482770362979619,52
해주다,0.006413702844820122,46
부족하다,0.006413042649633532,41
하루,0.006409416512789812,31
나쁘다,0.006341629033298642,37
걸리다,0.006337307399725069,45
사람,0.006252193305771632,46
늦다,0.006194312340580047,46
전반,0.006181537841123163,48
느낌,0.0061280288825961565,40
높다,0.006096826290394289,50
베개,0.006063306763227916,45
커피,0.00578135990865206,35
사진,0.005738673643552886,32
어메니티,0.005720281328429963,51
자주,0.005621158799123348,25
샤워,0.005587873567524514,44
먼지,0.00555680934902345,38
친구,0.005536630209905171,39
방도,0.005476866086593081,23
즐겁다,0.005462213408789402,27
소음,0.005453418699092258,34
무난,0.005447736353945034,25
넉넉하다,0.0053936389593927415,44
로비,0.005371718520051202,46
다니다,0.005348220322269711,41
보이다,0.005297323047509425,46
아주,0.0052799273156968725,30
욕실,0.0052522145885314404,48
따뜻하다,0.005238373622971335,27
난방,0.005217703313406099,34
적당하다,0.0051084271106289275,33
칫솔,0.0050906751509481,39
응대,0.005067847031248416,32
필요하다,0.005057411066740333,40
훌륭하다,0.00498347515078217,26
기다리다,0.0049722705876872305,33
이번,0.004971079646768531,32
힘들다,0.004752097973603297,32
비다,0.004729045408013717,30
덕분,0.004692740773324534,32
가장,0.004689140734972415,29
싱크대,0.004675014107033597,32
치약,0.00464669983722561,32
충분하다,0.00458423372602783,30
비즈니스,0.004539575026936349,25
챙기다,0.004536379711810997,38
놀다,0.00453317313153805,30
급하다,0.004477410969666253,23
관광지,0.004475555999115463,29
인하다,0.004474111632846988,38
묵고,0.004421385364986483,16
바닥,0.004411750382999543,33
도착,0.004312974170626714,33
저녁,0.0043123167753829445,32
수압,0.0042871753682824,32
여유,0.004251027328846978,25
잡다,0.004182594998193827,27
추가,0.004141857877204773,31
카페,0.004126785257531486,27
요청,0.004102855473796527,31
패키지,0.004101853279810568,26
춥다,0.004073447764388997,24
약간,0.004067048863695664,22
수영장,0.004027358799010768,33
건물,0.004015050737045959,30
느끼다,0.004013461353687576,29
샤워실,0.003985009257865861,21
안내,0.003979577472942214,34
들어가다,0.003964513223887662,25
아침,0.003943628176978928,30
어렵다,0.003934403959143748,26
손님,0.0038414380719084063,28
떨어지다,0.0038030298797959595,24
샴푸,0.0037991394030211733,32
때문,0.00376164573815586,26
들리다,0.0036897312970747367,29
느껴지다,0.0036755543827699994,21
헬스장,0.003673162162303342,29
식당,0.0036646406780645223,21
덥다,0.0036471529412949334,26
투숙,0.003632155906556175,28
별로,0.0036204613763454185,16
시원하다,0.003597866174653286,18
영화,0.003596305186848185,27
넷플릭스,0.0035892148738528576,21
지다,0.003577323647099078,22
날씨,0.0035094577072470753,24
책상,0.003504035074839802,21
모텔,0.0035021197674239297,19
크기,0.003466459568940388,25
일회용품,0.0034645245808379243,18
객사,0.0034501292998105806,23
홈플러스,0.0034459097335856575,22
아기,0.0034315959351940576,24
외부,0.0034307035986716216,20
음식,0.003430651369640075,26
구경,0.0034276091015822685,22
업그레이드,0.0034164458336407863,21
직접,0.003406125864254303,25
이마트,0.0034042651255833303,24
일찍,0.003388512468553159,21
계속,0.0033867665498170884,18
냉장고,0.0033809282940657215,22
단점,0.0033582154221118883,24
동안,0.003338444448858825,16
적합하다,0.003333774184395221,17
분위기,0.0033313621900456104,17
신축,0.003321546973987911,17
새벽,0.0033069176983878904,23
건조하다,0.003297105314612526,20
개인,0.003276203483447855,20
강력,0.003267103910118367,11
이불,0.0032636280626556122,16
복도,0.003216864743269418,22
신경,0.003208224000134248,20
관광,0.0032034707786356633,22
아늑하다,0.0031998615149391703,14
소파,0.0031942628734186775,21
대다,0.003190867492996199,21
생기다,0.0031847115467444555,16
바디,0.003184009024177484,26
전혀,0.003182393790292905,20
머무르다,0.003179913554266579,14
다녀오다,0.0031698164913586658,26
가면,0.0031580842216592914,18
걱정,0.003148578106935917,19
플러스,0.003136055150700128,32
택시,0.0030972029251827493,20
간단하다,0.0030803804073804863,21
배정,0.0030774175434772747,23
온도,0.003070656176249615,21
드리다,0.003036526407357226,18
