word,score,count
좋다,0.11651364784292316,177
깨끗하다,0.07258423873056567,53
자다,0.06961971772969004,69
매우,0.06650809022642369,83
친절하다,0.06516824143362715,56
깔끔하다,0.056587526193770096,37
전주,0.04969023160475823,72
편안하다,0.046680199332443544,34
직원,0.04596705701796641,44
호텔,0.04572244005917976,68
위치,0.04547657960790797,48
숙소,0.04378929657123426,43
마을,0.04059324648230032,47
조식,0.036058343821532154,30
시설,0.03519382237131622,28
괜찮다,0.030429857308567395,27
편리하다,0.02986389528850955,33
주차,0.02761001638990845,33
침대,0.02693120219163756,30
되어다,0.025996937125854984,33
다음,0.025814562296920574,27
객실,0.025207836075474374,32
다만,0.02511755170476633,19
모두,0.024743711609528006,22
가격,0.02451050514462585,16
방문,0.02321375276717446,31
아쉽다,0.022049575792911048,24
추천,0.022048281801558683,14
맛있다,0.021992843802500064,11
주차장,0.02167339049931674,27
불편하다,0.02128594094623394,21
상태,0.02100438059813931,18
가성,0.020738920326667395,12
쾌적하다,0.02041635371693188,13
가깝다,0.0203707125421954,19
만족하다,0.019865081346257748,16
묵다,0.019744153684389767,12
도보,0.01910810295597249,14
청결,0.01869518297934351,12
체크,0.018500224249515782,21
여행,0.01773932367579651,23
거리,0.017311993552305754,16
먹다,0.017229871671535283,15
주변,0.01722225344896149,20
편의점,0.017063397406372412,25
컨디션,0.016989295020601664,10
쉬다,0.01697338250017935,8
대비,0.015587052386000997,6
정도,0.0154732780077517,16
화장실,0.015467705833410493,12
서비스,0.015109401658036361,11
가면,0.014956869710908783,6
라마,0.014685940310512062,13
많다,0.014433974912845404,14
예약,0.013834427565692812,14
청결하다,0.013699700284300217,9
숙박,0.013698090279727137,10
생각,0.013668738177120658,11
전반,0.01364529266127989,10
나오다,0.013320027052775598,10
소리,0.013212268936199903,10
시간,0.013143900127776519,11
멀다,0.013056508486313796,8
침구,0.012905176790023667,16
훌륭하다,0.01279026865648181,10
가장,0.01247191311369358,13
만족스럽다,0.012411047296097273,12
늦다,0.012369626068352076,10
걸다,0.012235236729190926,11
방음,0.012093965918495172,9
오픈,0.012071970042922946,7
지내다,0.011986507314203027,8
음식,0.011919749722010386,12
넓다,0.011833142199735554,10
갈다,0.011438298967639789,8
청소,0.011406037927721633,12
감사하다,0.011276378333428337,7
다시,0.011064816619702062,11
기간,0.010918839528835112,6
이동,0.01081602900826323,9
걸어가다,0.010415662082310989,7
걸리다,0.010347711476641302,8
편하다,0.010341529968252924,9
조용하다,0.01027786672596943,7
욕실,0.010228061024901345,9
프런트,0.010217049926735408,10
춥다,0.010152579705837063,5
에어컨,0.010084088997262382,6
안내,0.00992772648169483,10
좁다,0.009900122274373731,12
가능하다,0.009893789173579939,9
기분,0.009740165948503665,9
근처,0.00967131628876064,10
구매,0.009407184731548585,7
응대,0.009171384276573515,8
슬리퍼,0.009061040585375898,7
어메니티,0.008957032473932775,9
모텔,0.008949600118796152,7
소음,0.00893153961933773,8
오래되다,0.00885913156754431,5
수건,0.00881774826593082,8
샴푸,0.00879195812011646,10
하루,0.008750826106249953,4
의사,0.008750297866512671,8
처음,0.00864565491617613,6
객사,0.00854610396877994,6
다른,0.008511809252818907,7
사용,0.008452397999585014,7
크다,0.008451405892485563,9
샤워,0.008426495440589123,7
양호,0.008394496513317484,3
시원하다,0.008318100048946397,6
들어오다,0.008275010153924735,5
공간,0.008131191852901261,11
인테리어,0.00808649177570313,5
전체,0.008009089652249102,5
리뉴얼,0.007992083095300523,7
찾다,0.007954017824146347,7
느낌,0.007879164541660275,7
항상,0.007858949568544816,4
바디,0.00783493349260993,8
때문,0.007767989382812397,6
자주,0.007728810786681094,5
예정,0.007602799788037719,4
체크아웃,0.007599157059901668,7
머리카락,0.007589171394644784,5
기본,0.007570941815787416,7
엘리베이터,0.00756637377623145,5
두다,0.007501360133527625,5
옆방,0.0075013555972008395,5
객리,0.007451786488027294,6
나쁘다,0.007257535344121678,4
식당,0.00724632843265203,6
들르다,0.007143497569484204,3
난방,0.007140381327287398,5
로비,0.007107941301620626,6
관리,0.0070410932692711705,3
지하,0.007039017183848758,10
최고,0.007005097647727967,3
가족,0.0069972522638777155,6
제공,0.006952321971722847,8
다소,0.0068723967014123685,5
출장,0.006818835648519344,5
다가,0.006811742233614872,4
전혀,0.006721859142493736,6
접근성,0.006705096970854473,4
모델링,0.006684414991218843,4
글로스터,0.0066791400837443084,9
평일,0.006473665295962638,4
들리다,0.006414803604082968,6
베개,0.006390421269191116,5
새벽,0.006364584854589272,3
쿠폰,0.006213805333209071,6
방도,0.006102929517302824,3
보이다,0.00606736286454612,6
묵고,0.006060170263638719,3
창문,0.006004026941432103,4
인하다,0.00596184949266174,5
강력,0.00595261135260844,4
예전,0.005927300790628623,5
변기,0.005853847238457453,5
저렴하다,0.0057874816679193385,3
제외,0.005784375262377229,4
자판기,0.005776125494802469,5
별로,0.0057588494226368985,6
모든,0.0057192858870358946,4
지상,0.005687779736279201,6
갖추다,0.005679956543550085,6
필요하다,0.005669337770576038,5
최악,0.005668198411516253,3
부대,0.005650202142617798,3
챙기다,0.0056231375228433765,5
영화,0.00558241237154682,4
바닥,0.005582112901090414,5
워시,0.005580453467288693,6
외관,0.005477950013558399,4
관광지,0.005468546105069846,5
싱글,0.005463776117652186,5
마음,0.005457509100560497,5
일회용품,0.0054227325030469665,6
맛집,0.005400299138640164,4
아침,0.005287441612201647,6
아이,0.005286038487762065,5
도착,0.00524097562816221,5
높다,0.005188268191214507,4
식사,0.005165300891492926,5
사람,0.005152927923424173,5
맥주,0.00511049848850609,5
낡다,0.00509571455335161,4
요청,0.005073237879170953,4
트리플,0.005072479072621869,5
상당하다,0.005035835639518013,3
신경,0.005004957667599036,5
오지,0.00497328555784304,4
장점,0.004968840126782406,5
스럽다,0.00493458785814365,3
시내,0.0048599046012355405,4
외부,0.004826695624040101,5
저녁,0.004816226354793737,5
그대로,0.004785241230796712,3
남부,0.0047822050245253595,3
시장,0.0047822050245253595,3
여름,0.004762160360391657,4
당황,0.004739982657692342,3
보내다,0.004735083844399741,4
카페,0.004704286520663112,3
불쾌하다,0.00470101873917368,3
해보다,0.004651953873073482,5
시스템,0.004635468256956642,3
간단하다,0.004621148374926762,3
자리,0.004588069647686165,5
충분하다,0.004585760040805251,5
투썸,0.004572973609178033,3
다니다,0.004559000739018817,4
일행,0.004494024644709601,3
다양하다,0.004451231002944177,5
칫솔,0.004442340932562374,4
드라이기,0.0044088596160443555,3
한잔,0.004380263403975797,4
덥다,0.004316804236787926,3
할인,0.004311464290461557,4
보고,0.00420183654782474,4
떨어지다,0.004128018397422491,3
나가다,0.00407227714158963,3
넉넉하다,0.004059976434391158,4
기대하다,0.0040585308624291345,4
쓰다,0.004055390397331089,4
직접,0.004052522812622769,3
작다,0.0039917910930647275,4
설명,0.0039675647670013,3
무료,0.003945600709646162,3
비치,0.00391562288160119,4
세면대,0.003868010030425245,3
사다,0.003810126582007607,3
먼저,0.0037835886964546436,3
사이,0.0037496688252200362,3
해주다,0.0037244683017992938,3
숙면,0.0036912012239431616,3
차량,0.0036856705347462653,3
머리,0.003682089365121242,3
추가,0.0036496053024902457,3
확인,0.0036177788418399956,4
치약,0.0036049522221958054,3
관광,0.0035782384001101127,3
내부,0.0035118810834901407,4
테이블,0.003507873883514272,3
채우다,0.0034948884817709827,3
입실,0.00348769610705344,3
음료,0.003481362832091633,3
주말,0.003463198873650054,3
적당하다,0.003449279349658235,4
투숙,0.0034488348210282064,3
라운지,0.0033947739119112854,3
딱딱하다,0.003312643541878918,3
이번,0.003266501471395714,3
이름,0.0031903983298685497,3
의자,0.0031803701246611027,3
운영,0.003161593790907794,3
변경,0.0031476481163712792,3
포함,0.003094557698965849,3
분위기,0.0030885751778908133,4
수압,0.0030657872474322495,3
여러,0.0030029394848874688,3
참고,0.0029588438203238254,3
들어가다,0.002916215502855162,3
시키다,0.0029048237320691266,3
덕분,0.0029007925776765027,3
가져가다,0.002744963806930908,3
데스크,0.0027279181115049287,3
