word,score,count
좋다,0.07699993009347991,95593
냄새,0.05997643075369358,7395
담배,0.047724106446888105,3436
매우,0.046665002155337684,42465
컴퓨터,0.0427598788144834,3238
화장실,0.04202520003350115,9345
객실,0.03902615753291878,11138
아쉽다,0.03869480985218879,6138
청소,0.03513738657638922,4638
친절하다,0.03101520091487202,29815
상태,0.030639307435698544,5948
불편하다,0.02639008542264974,4990
시설,0.024839341507317175,15883
게임,0.02450134025320684,1189
다만,0.02375841790215602,4037
스타,0.023719201067818312,3286
괜찮다,0.023088717449268503,7583
주차,0.023060169634744464,7172
깨끗하다,0.023030338750557308,26316
주차장,0.02294090793248382,6805
에어컨,0.022939506974183555,2539
심하다,0.02212086677979823,1165
