id,name,nickname,review_content,rating,write_date
y_35_001,전주 스타 호텔,반민족적인책,"김제나 군산, 부안 쪽 출장시 항상 이용하고 있습니다. 일 단 객실이 넓어서 좋고 텔레비젼도 잘 나오고 욕조도 있어 서 피로 풀고 편하게 숙박하기에 좋습니다. 객실 청소상태 도 훌륭한 편이며 침구류 또한 깔끔하고 포근해서 만족스 럽습니다. 사장님께서도 친절하시고 무엇보다 주변이 조 용해서 소음공해 없이 편히 자기에 좋습니다. 택시타고 번 화가 가기에도 좋습니다. 주차장도 드라이빙텔은 1실 1주 차라 편하게 주차 가능합니다. 전반적으로 가격대비 훌륭 하며 만족스럽습니다.",4,1개월 전
y_35_002,전주 스타 호텔,온순한엉터리,"출장와서 어제도 이용하고 오늘도 이용중입니다. 일찍 예약해서 쿠폰으로 저렴한 가격으로 이용중입니다. 청소상태도 양호하고 시설도 만족합니다. 주변에 식당도 않고 편의점. 마트도 가까이 있어서 이용하기 편리하고 좋습니다. 방에 조명도 밝은 편이라서 지내기 좋고 컴퓨터도 작동이 잘되고 게임도 할수 있어서 좋고 방에 작은 테이블도 있어서 편리하고 티비도 크기가 적당합니다. 온수도 수압이 좋게 잘나오고 단, 불편한 점은 넷플릭스가 컴퓨터와 연동된 점과 화장실 비데가 없는점 정도 예요.",4,2개월 전
y_35_003,전주 스타 호텔,능글맞은민소매,"가장 좋았던 점은 근처에 좋은 식당들이 많았다는 것입니다. 체크인 전후에 먹을 것도 많았고, 배달도 시켜먹기 딱 좋은 곳이었습니다. 침실과 침구 상태도 좋았고, 욕실도 좋았습니다. 깨끗하고 물도 안 튀었습니다. 눈에 띄는 얼룩이나 머리카락도 없었고, 담배 냄새도 심하지 않았던 것 같습니다. 공원과 가까워서 저녁 식사 후 산책하기 좋았습니다. 수건도 냄새가 나지 않아서 좋았습니다. 방 온도도 따뜻했고, 침구 상태도 좋았습니다. 전반적으로 매우 만족스러웠고, 이 지역에 업무가 있으면 다시 이용할 계획입니다.",4,1개월 전
y_35_004,전주 스타 호텔,도토리도듁,"최근에 이용한 모텔은 전반적으로 만족스러웠습니다. 방이 넓고 청결하게 관리되어 있었고, 침구류도 깔끔해서 편안하게 쉴 수 있었습니다. 욕실도 물 수압이 좋고 따뜻한 물이 잘 나와 샤워하기 좋았어요. 프런트 직원분도 친절하게 응대해주셔서 기분 좋게 체크인할 수 있었습니다. 무엇보다 조용한 분위기라 숙면을 취하기에 딱 좋았고, 주변에 편의점이나 음식점도 가까워 위치도 만족스러웠습니다. 재방문 의사 충분히 있습니다.",5,20일 전
y_35_005,전주 스타 호텔,서켜나,"침대는 포근하면서도 탄탄한 매트리스로 구성되어 있어, 하루의 피로를 말끔히 풀어줍니다. 뽀송하고 부드러운 침구류는 마치 구름 위에 누운 듯한 느낌을 주며, 청결하게 관리된 시트와 이불 덕분에 따뜻하고 아늑한 숙면을 취할 수 있었습니다. 베개는 다양한 높이와 경도로 비치되어 있어 개인 취향에 맞춰 사용할 수 있는 점도 만족스러웠어요. 객실 내에는 고급 드라이기와 고데기, 스타일러가 비치되어 있어 따로 준비할 필요 없이 편리하게 이용할 수 있었습니다. 드라이기는 강력한 바람과 온도 조절 기능이 뛰어나 머리 말리기에 좋았고, 고데기는 자연스러운 스타일링이 가능해 특히 외출 전 유용했어요. 스타일러는 출장이나 중요한 약속 전 옷의 주름을 제거하고 냄새까지 없애주어 정말 실용적이었습니다.",4,2개월 전
y_35_006,전주 스타 호텔,에에에엥0,"전주 완산구에서는 여기가 가성비 젤 좋은 것 같아요! 여러 객실 타입들 다 가봐도 전반적으로 깔끔했고, 담배냄새가 나거나 쿰쿰한 냄새나는 방은 한번도 없었습니다! 위치도 좋고 평일 기준으로는 가격도 너무 싸지도 비싸지도 않은데 가격 대비 좋은 숙소인 거 같아요! 위치도 백제대로에서 들어오자마자 바로라서 다른 곳들보다는 덜 위험한 곳에 있구요 편의점도 바로 앞에 gs25가 2개나 있어서 다녀오기 편한 거 같아요! 주차는 10-15대 정도 들어가는 거 같긴 한데 많이 넓은 편은 아니에요!",5,4개월 전
y_35_007,전주 스타 호텔,온화하고친숙해진캐나다,"주차장이 넓어서 좋았고, 전체리모델링을 하셨는지 외관부터 깔끔했습니다. 주변에 편의점도 많고 위치가 전주의 중심부라 번화가 어딜가든 이동하기가 편했습니다. 사진과 똑같은 방을 배정 받았었는데, 분명 금연객실이라는 안내판은 있었지만,,, 담배냄새와 함께 테이블에 담뱃재가 떨어져있어 살짝 불쾌했네요. 청소상태가 훌륭하진 않았어요. 다음부터는 청소에 조금 더 신경 써주시면 좋을듯.. 화장실 변기에도 검은색 점이 찍혀있어서(뭔진 모르겠지만) 샤워기로 뿌리니 없어졌고요..",5,2개월 전
y_35_008,전주 스타 호텔,온화하고진솔된청계산,"스타 호텔 가는 길에 해지는 노을도 보고 기분 업업돼서 갔습니다. 위치가 좋은 곳에 있어요. 주차는 이중주차를 해야하지만 문제없습니다. 차키 맡기면 알아서 다 해주니 걱정마세요! 숙소는 딱 가격에 알맞은 곳입니다! 이불도 푹신푹신, 공기청정기도 있고, 생각보다 깨끗했습니다! 무엇보다 넷플릭스되는 건 더욱 더 좋았어요! 또 주변에 맛집이 많아서 장점입니다! 숙소 주변으로 편의점, 스타벅스, 맥도날드 등 먹을 곳이 너무 많아서 좋았습니다! 다음에 또 이용하고 싶은 숙소입니다:)",5,5개월 전
y_35_009,전주 스타 호텔,온순한엉터리,전주 출장와서 이용중인데 주변에 모텔도 많고 밥집이랑 편의점도 많아서 이용하기에 좋은 모텔입니다. 주변의 다른 모텔보다 가성비가 좋은거 같아요. 주차장도 자리가 여유롭고 방도 크기가 적당하고 티비랑 컴퓨터도 작동이 잘되서 불편함이 없어요. 방에 조명도 밝은 편이라서 지내기 좋고 화장실 비데는 없지만 온수도 시원하게 잘 나와서 만족합니다. 톡이하게 드라이가 욕실에 있네요. 출장이 잦은 직업인데 완산구에 가성비 좋은 모텔을 찾은거 같아요. 앞으로 자주 이용할거 같네요.,5,2개월 전
y_35_010,전주 스타 호텔,노효철,"출장 갈때마다 자주 들리고 있습니다.. 화장실 깔끔하고.. 샤워 시설도 편합니다.. 침대도 편하고 좋습니다..일회용품들도 잘 준비되어있어서 이용하는데 불편함이 없습니다.. 층간 소음없이 잘 쉴수 있는점도 좋은거 같습니다.. 가격도 주위 모텔에 비해서 무난한정도라 이용하기 편합니다.. 주차 시설도 잘 되어있다보니 불편한 점은 없습니다.. 모텔 주위에 음식점이나 ,편의점, 술 한잔 할수 있는곳들도 많이 있어서 숙박하기 좋은 위치인거 같습니다.. 객실도 깔끔히 잘 정리되었고 티비 시청하기도 편하네요.. 다음 출장에도 자주 이용하도록 하겠습니다..",5,4개월 전
