id,name,nickname,review_content,rating,write_date
y_183_001,전주 포레스트그릴 글램핑,장작난로삼겹,잘 이용했습니다 다음에도 이용할게요,4,2개월 전
y_183_002,전주 포레스트그릴 글램핑,여기어때 이용 고객,너무진짜좋아요!!!,5,3개월 전
y_183_003,전주 포레스트그릴 글램핑,빵매니앙,사장님이 되게 친절하시고 숙소위치랑 가격도 합리적이였습니다. 다음에 또 방문하고싶어요~,5,4개월 전
y_183_004,전주 포레스트그릴 글램핑,놀러오삼,사장님 친절하시고 깔끔하고 좋아요 잘 쉬다 갑니다~,4,4개월 전
y_183_005,전주 포레스트그릴 글램핑,제로협,처음 도전하는 글램핑인대 만족스럽게 잘 놀고 갑니다~,5,10개월 전
