id,name,nickname,review_content,rating,write_date
y_72_001,전주 어썸호텔,다정하고풋풋한나비,제가 가본 숙소중에 제일 깔끔하고 좋았습니다. 외관부터 이뻐서 맘에 쏙 들었습니다. 들어가니 사장님도 친절하여서 좋았습니다 방에 들어가보니 침대도 깔끔하게 정리가 잘 되어있었고 베개나 이불에서 냄새가 나지않았습니다. 화장실도 깔끔하게 정리가 되어있어 좋았습니다. 제가 또 그 지역을가게된다면 이 곳을 다시 방문할 의사가 있습니다!! 항상 숙소를 가게된다면 다 좋지만은 한두가지씩 아쉬운 점이 다 있었지만 여기는 아쉬점없이 편하게 잘 쉬다와 만족스럽게 숙소를 정한 것같습니다,5,23일 전
y_72_002,전주 어썸호텔,그래그냥요,우선적으로 위치가 좋은곳에 있어서 접근하기가 좋았고 건물이 딱 눈에 들어와서 길찾기가 쉬웠습니다. 데스크에 계시는 분도 친절하게 안내해주셨고 숙소 내부로 들어갔을때 특유의 담배냄새더 나지않아서 좋았습니다. 침구류도 깔끔하게 정리가 되어있었고 이물질이 묻어있지 않아 만족했습니다. 화장실도 깔끔했고 배수더 잘되어서 이용하는데 큰 불편함은 없었습니다. 다음에 오게되더라고 여기를 다시 이용할것 같습니다. 한번쯤 방문해 보시는걸 추천드립니다. 감사합니다.,5,2개월 전
y_72_003,전주 어썸호텔,저산넘어,고속 시외버스터미널 모두 도보로5분거리에위치해서 교통편리합니다 사장님 친절하시고 빠른입실시간과 주차장 시설도 어느정도 여유있게 주차할수있는 공간있습니다 시설 기본적으로 깨끗하며 숙박에 불편함 없습니다 수건4장 일회용품. 음료수등 기본적으로 제공합니다 특별히 시끄러운 소음없이 조용합니다 모든면에서 가격대비 만족할수있는 숙박입니다 추천합니다 시간적여유로운 입퇴실시간 주차공간 관리되여있는 실내. 전체적으로 만족합니다 욕실수압등 기타등 추천합니다,5,2개월 전
y_72_004,전주 어썸호텔,내일뭐하쥬,"자주 방문하는데 갈때마다 사장님 늘 친절하게 대해주시는 곳이라 갈때마다 기분 좋은 곳입니다. 가장 저렴한 일반실도 컴퓨터 사양이 상당히 좋아서 게임도 문제없이 돌아가고 (fc온라인) 넷플릭스도 호텔 계정을 쓸 수 있어 ott서비스 이용도 문제 없습니다. 이제 한여름인데 에어컨도 머리위가 아닌 옆으로 설치되어 있어 두통없이 시원하게 잘 수 있었네요, 무엇보다 고속버스터미널이 인접해있어 도보로도 움직일 수 있다는게 큰 장점인거 같습니다. 주변에 음식점도 많아 배달도 문제없구요^^ 재방문 의사 있습니다.",5,17일 전
y_72_005,전주 어썸호텔,스페인가공철도,컴터 고사양에 적당한방사이즈. 샤워기 각도조절이 안되는 부분이 큰 단점..터미널부근 저렴하고 각ㆍ워서 장점인부분이있음 편의점 근처에 두세개있고 근처 업소 대비 주차시설 넓은편. 저렴한만큼 부분 노후가 있으나 싼곳중에는 제일 나은듯 조용한편이며 웰컴쿠키도 있고 물 음료도 있음. 설비가 좋은편은 아니어서 이거저것 따지시는분에게는 추천하디않지만. 가격대비 저렴히 하루묶는데 컴터로게임도 돌아가는 집은 거의없어서 잘쉬다 갑니다. 다음에 또 숙박할예정입니다.,4,3개월 전
y_72_006,전주 어썸호텔,873802,안녕하세요 여기숙소 위치가 굉장히좋습니다. 주변에 먹거리 식당 술집등 인프라가 좋습니다. 그리고 편의점역시 5분거리안에있어 이용하기편하구요 시설이나 설비 가격대비 만족스럽습니다. 수건상태 욕실청소상태 방 컨디션 만족스럽습니다. 카운터 직원분 응대하는모습도 친절하여 기분좋게쉬다갑니다. 추후 이용한다면다시 방문할의사있으니 항상 번창하시고 앞으로도 현상태잘유지해주시면 고객입장에서 고마울것같습니다~~~ 항상 건강하시고 잘쉬다갑니다^^,5,2개월 전
y_72_007,전주 어썸호텔,아픈데좋아형,"숙박업소에 고성능 컴퓨터가 비치되어 있어 간단한 문서 작업은 물론 영상 시청이나 인터넷 이용까지 매우 쾌적하게 할 수 있었습니다. 특히 컴퓨터 사양이 좋아 작업 중 끊김이나 불편함이 전혀 없었고, 인터넷 속도도 빨라 전반적인 만족도가 높았습니다. 숙소 위치도 번화가와 가까워 식사나 쇼핑, 카페 이용 등 다양한 활동을 하기에도 편리했고, 대중교통과의 접근성도 좋아 이동이 매우 수월했습니다. 주변에 편의점이나 음식점이 밀집해 있어 갑작스러운 필요에도 쉽게 해결할 수 있었고, 전반적인 시설도 청결하고 쾌적해 재방문 의사도 충분히 있을 정도로 만족스러운 숙박 경험이었습니다.",5,2개월 전
y_72_008,전주 어썸호텔,아픈데좋아형,"숙박업소에 고성능 컴퓨터가 비치되어 있어 간단한 문서 작업은 물론 영상 시청이나 인터넷 이용까지 매우 쾌적하게 할 수 있었습니다. 특히 컴퓨터 사양이 좋아 작업 중 끊김이나 불편함이 전혀 없었고, 인터넷 속도도 빨라 전반적인 만족도가 높았습니다. 숙소 위치도 번화가와 가까워 식사나 쇼핑, 카페 이용 등 다양한 활동을 하기에도 편리했고, 대중교통과의 접근성도 좋아 이동이 매우 수월했습니다. 주변에 편의점이나 음식점이 밀집해 있어 갑작스러운 필요에도 쉽게 해결할 수 있었고, 전반적인 시설도 청결하고 쾌적해 재방문 의사도 충분히 있을 정도로 만족스러운 숙박 경험이었습니다.",5,2개월 전
y_72_009,전주 어썸호텔,적합한겨울,전주지역에 출장을 2달에 한번 고정적으로 와야하는데 제가 게임도 좋아해서 컴퓨가 잘 된는곳을 선호합니다. 컴퓨터는 제가 하는 게임 하기엔 전혀 문제가 없어서 만족하지만 시설은 좀 낙후 되어있습니다. 담배냄새도 조금나구요. 환기해도 빠지진 않네요 또 그리고 방이 어둡고 그러네요 다음에 도 또 출장갈때 이용하려 합니다 침대나 이런건 평범하고 가격대비 불만스러운 사항은 없습니다 구비된 물품등. 이런건 평범하고 가격대비 불만스러운 사항은 없습니다 욕조나 화장실 내부 구조나 크기 이런건 평범하고 가격대비 불만스러운 사항은 없습니다 가격저렴해소 좋았고 컴퓨터 잘되서 좋았습니다.,4,9개월 전
y_72_010,전주 어썸호텔,아픈데좋아형,"숙박업소에 고성능 컴퓨터가 비치되어 있어 간단한 문서 작업은 물론 영상 시청이나 인터넷 이용까지 매우 쾌적하게 할 수 있었습니다. 특히 컴퓨터 사양이 좋아 작업 중 끊김이나 불편함이 전혀 없었고, 인터넷 속도도 빨라 전반적인 만족도가 높았습니다. 숙소 위치도 번화가와 가까워 식사나 쇼핑, 카페 이용 등 다양한 활동을 하기에도 편리했고, 대중교통과의 접근성도 좋아 이동이 매우 수월했습니다. 주변에 편의점이나 음식점이 밀집해 있어 갑작스러운 필요에도 쉽게 해결할 수 있었고, 전반적인 시설도 청결하고 쾌적해 재방문 의사도 충분히 있을 정도로 만족스러운 숙박 경험이었습니다.",5,2개월 전
