id,name,nickname,review_content,rating,write_date
y_11_001,전주 마리 - 덕진공원점,glryd,"전북대학교 캠퍼스 옆, 덕진공원 근처에 자리하고 있어요. 주차장이 여유 있고 주변에 음식점 등 상가가 많아 편리한 곳이예요. 복도를 지나 방에 들어가니 크기랑 시설이 괞찬았는데 담배 냄새가 나서 사장님께 연락드렸더니 친절하게 바로 오셔서 다른 방으로 바꿔 주시면서 이것 저것 확인해 주셨구요. 화장실과 욕실이 분리되어 있어 편리했고 방음도 잘되어 편하게 쉬었습니다. 아침에 간단한 조식이 변도의 공간에 마련되어 있어서 이용 잘했습니다. 조식 후 가까운 덕진 공원 산책으로 힐링하게 되어 좋은 숙소로 기억됩니다.",4,1개월 전
y_11_002,전주 마리 - 덕진공원점,천하제일남넘버원,"전주 삼천동 막걸리골목에서 맛있는 식사를 하고 여기어때를 통해 묵을 숙소를 찾던 중 특가 35,000원에 사진으로도 훌륭한 방을 찾고 와이프와 하루를 묵었는데 아내도 대만족 저도 대만족입니다. 방은 특실과 다름이 없었는데 배쓰룸에 비데와 욕조가 있어서 더 감사했던 것 같습니다. 늘 애용하는 여기어때를 통해 매번 저렴하게 아주 좋은 평점의 숙소를 싼 가격이나 경제적인 비용으로 매번 이용하니 우리 일상의 아주 좋은 애플리케이션이라 여겨집니다. 전주 마리호텔 덕진공원점 감사하게 잘 이용했습니다. 감사합니다. 강추!",4,2개월 전
y_11_003,전주 마리 - 덕진공원점,77세아마추어,숙소가 참 좋습니다~~~~~ 인테리어도 깔끔한것 같습니다~~~~~ 숙소가 따뜻합니다!!!! 제공 소모품류가 있어서 편리했습니다~~~~~ 가격이 합리적입니다!!!!! 주차공간이 있어 편리합니다~~~~~ 티비가 있고 Ott도 볼 수 있습니다~~~~~ 청결하게 관리되어 있습니다!!!!! 주변 편의점이 잘 되어 있습니다!!!!! 숙소가 따뜻합니다!!!!! 인테리어가 깔끔하고 모던합니다~~~~~ 편리하고 안락하게 쉬고갈수있습니다~~,5,2개월 전
y_11_004,전주 마리 - 덕진공원점,쿠바아범,"직원들이 매우 친절하고 응대가 빠르게 이루어져 처음부터 기분 좋게 숙박할 수 있었습니다. 객실은 깔끔하고 넓은 편이며, 침구도 포근해서 하루 종일 피로했던 몸을 충분히 쉴 수 있었어요. 욕실도 청결했고 수압이나 온도 모두 만족스러웠습니다. 숙소 위치도 좋아서 주요 관광지나 맛집, 대중교통 이용이 편리했고 주변에 편의시설도 많아 머무는 동안 전혀 불편함이 없었습니다. 조용하고 쾌적해서 재방문 의사 있습니다. 어메니티도 안에 무료로 있고 주차 시설도 잘 있어서 편하게 이용했어요!",4,3일 전
y_11_005,전주 마리 - 덕진공원점,77세아마추어,"체크아웃까지 모든 과정이 원활했고, 호스트도 친절하게 안내해주셔서 편안하게 머물 수 있었습니다. 침구류가 청결하고 침대도 푹신해서 숙면을 취할 수 있었어요. 주변에 맛집과 카페도 가까워 위치도 만족스러웠습니다. 다음에 또 방문하고 싶어요. --- 숙소에 도착했을 때 첫인상부터 매우 좋았습니다. 외관도 깔끔하고 실내는 사진으로 봤던 것보다 훨씬 넓고 정돈되어 있어 만족스러웠습니다. 특히 청결 상태가 인상 깊었는데, 바닥이며 침구, 화장실까지 먼지 하나 없이 잘 정리되어 있어 기분 좋게 머물 수 있었습니다. 침대는 푹신하고 편안해서 하루 종일 걸어 다닌 피로를 충분히 풀 수 있었고, 에어컨과 난방도 잘 작동해 쾌적한 온도를 유지할 수 있었습니다. 숙소 내에 마련된 어메니티도 다양하고 퀄리티가 좋아서 따로 챙겨온 물품 없이도 편리하게 이용할 수 있었습니다.",5,4일 전
y_11_006,전주 마리 - 덕진공원점,가마득하고가냘픈메밀,일단 주차장이 엄청 넓어서 상당히 편했습니다! 사장님도 친절하시고 뭐 여쭤보면 바로바로 응대해주셔서 좋았습니다 OTT도 다 볼 수있고 티비도 엄청 커서 룸카페같은곳 보다 훨씬 가성비 같습니다!! 주변도 조용하니 편안하게 쉴수있었어요 침대도 크고 푹신했고 바닥 보일러랑 별도로 침대 전기 장판도 있어서 추운날에도 편하게 이용 할 수있었습니다! 냉장고도 다른 숙박업소 와는 다르게 냉동칸도 있고 널찍해서 주전부리 사와서 먹기도 좋았구요. 자주자주 많이 이용할거같습니다,5,3개월 전
y_11_007,전주 마리 - 덕진공원점,서아아범,"이용객실-601호 위치-조금 나가면 전북대 위치라 먹거리 많음~~~~~ 시설-ott 무료 시청 가능하다고 했는데 그방은 누가 로그아웃 한건지 tv로는 안됐음 화장실과 욕실이 분리되어 있음 조식코너에 토스트, 시리얼,볶음밥,한강라면이 구비되어 있어 좋음 청결-바닥에 별도의 이물질 없으며 눈에 보이는 더러움 없음~~~~~ 주차- 주차장이 있는데 그렇게 크지는 않으나 숙소 앞 길가에 주차가능하여 어려움 없을것으로 판단~~~~~ 전체적으로 만족할 수준 총점-4.8점",5,3개월 전
y_11_008,전주 마리 - 덕진공원점,쉰짱구임정연,호텔 조용하고 아늑했어요 온수매트가 있어서 따뜻하게 푹쉬었고 화장실과 욕실이 따로 배치가 돼어 있어서 쓰기에 아주 유용하고 편리했습니다 사장님 직원분들 너무도 친절하셨고 수건도 넉넉히 들어 있었어요ᆢ또한 물도 4개나 들어있어서 녹차 만들어서 따뜻하게 마셨고 침대와 쇼파가 분리가 잘 돼어 있어서 더 유용하고 편리했습니다ᆢ 모처럼 신랑하고 좋은 숙소에서 전주 여행을 했구요 길 건너편쪽에 도보 5분거리 에 유명한 전주 비빕밥집 고궁 이라는 곳에서 식사도하고 호텔 주위가 편리했어요 다음에 또 전주에 놀러올 기회가 있으면 꼭 다시금 찿아 올께요ᆢ 아ㅡ참고로 물말고 커피와 음료도 있어요 아주 추천해요ᆢ 저희는 트윈베드라 쫌더 편안하게 숙박을 했어요ᆢ물도 어찌나 시원스럽게 나오는 지 씻기에도 편리하고 욕조도 커서 반신욕 하기도 딱 좋터라구요 겨울엔 역시 따뜻한곳이 젤인데 여긴 따뜻 하고 조용하고 편리한곳 이었어요 기억에 많이 남는 요곳ᆢ추천합니다 사장님 친절하게 해주셔서 감사해요 담에 또 찿아 뵐께요ᆢ,5,7개월 전
y_11_009,전주 마리 - 덕진공원점,개집털이,"깔끔하고 가성비 좋아요 넷플릭스, 디즈니플러스 돼서 좋아요. 깔끔하고 가성비 좋아요 넷플릭스, 디즈니플러스 돼서 좋아요깔끔하고 가성비 좋아요 넷플릭스, 디즈니플러스 돼서 좋아요깔끔하고 가성비 좋아요 넷플릭스, 디즈니플러스 돼서 좋아요깔끔하고 가성비 좋아요 넷플릭스, 디즈니플러스 돼서 좋아요깔끔하고 가성비 좋아요 넷플릭스, 디즈니플러스 돼서 좋아요깔끔하고 가성비 좋아요 넷플릭스, 디즈니플러스 돼서 좋아요깔끔하고 가성비 좋아요 넷플릭스, 디즈니플러스 돼서 좋아요",5,24일 전
y_11_010,전주 마리 - 덕진공원점,가마득하고가냘픈메밀,일단 주차장이 엄청 넓어서 상당히 편했습니다! 사장님도 친절하시고 뭐 여쭤보면 바로바로 응대해주셔서 좋았습니다 OTT도 다 볼 수있고 티비도 엄청 커서 룸카페같은곳 보다 훨씬 가성비 같습니다!! 주변도 조용하니 편안하게 쉴수있었어요 침대도 크고 푹신했고 바닥 보일러랑 별도로 침대 전기 장판도 있어서 추운날에도 편하게 이용 할 수있었습니다! 냉장고도 다른 숙박업소 와는 다르게 냉동칸도 있고 널찍해서 주전부리 사와서 먹기도 좋았구요. 자주자주 많이 이용할거같습니다,5,2개월 전
