id,name,nickname,review_content,rating,write_date
y_74_001,전주 호텔젠,eilene,1. 일단 주차장은 크고 널럴해 보입니다. 룸당 1차정도는 주차가 가능해 보입니다... 2. 룸의 청소상태는 비교적 깨끗한 편입니다. 제일 중요한 침구시트와 베개 시트 매일 하얀새거로 갈아주는듯 합니다. 깨끗합니다... 3. 욕실의 물도 온수와 냉수 다 시원하게 잘 나오는 편입니다. 수압도 괜찮았고요.. 4. 단독건물이라서 청문을 열면 시원합니다..경관도 좋고요.. 5. 1층에서 안내하시는 분도 친절하십니다.. 전반적으로 만족합니다. 다음에 또 이용할 의사 있습니다.,5,2개월 전
y_74_002,전주 호텔젠,츄베릆,전주에 급하게 와서 가성비좋은 숙소를 찾는도중 호텔젠을 발견!! 평일 3만원대에 안마의자와 욕조까지있는 숙소가 있다니... 뜨거운물도 넘나 잘나오고 아쉬운건 수압이 좀 약하네요... 객실내의 청결상태는 소름끼르치게 좋지는 않지만 그래도 꽤나 깨끗합니다. 담배냄새에 민감한편이지만 담배냄새도 없고 좋습니다. 티비는 스마트티비라 넷플릭스나 유튜브가 시청이 됩니다. 침대는 약간 딱딱한편이라서 저는 오히려 잠을 잘잘거같아요. 전체적으로 전주내에서 가성비 좋은 숙소입니다.,4,1개월 전
y_74_003,전주 호텔젠,말티즈가제일귀여워,가격이 저렴해서 이용할 만합니다. 시설은 노후 된 게 느껴지지만 객실도 화장실도 지저분한 느낌은 아니었습니다 청소는 잘 되어 있는 듯 했습니다. 카운터에 계신 남성분이 그다지 친절하시진 않지만 저렴한 가격에 이용할 만한 곳입니다. 차 있어서 주차는 편합니다. 주차장이 꽉 차 있으면 앞쪽에 무료 공용주차장 이용 하시면 주차 쉽게 하실 수 있어요.참고하세요. 근처에 꽈배기집 있는데 꼭 드셔 보세요. 완전 맛있습니다. 가격이 저렴해서 다음번에 들릴 수 있으면 또 들릴게요 :),4,1개월 전
y_74_004,전주 호텔젠,섹시한토끼풀,"음..생각보다 노후된 숙소였어요. 어디가 딱히 불편하지 않았지만 예민한 분들에겐 불호가 있을꺼같아요. 수건이 담겨있는 통은 먼지가 좀 있더라구요. 그래서 제일 아래있는 수건은 사용하지 않았습니다. 컴터의자나 발받침쇼파는 많이 낡아서 가죽이 벗겨지겨나 찢어져있었고, 키보드는...많이 사용한 버튼은 코팅이 아예 없었어요..... 제일 좋았던건 침대였는데요! 침대가 굉장히 넓고 푹신했어요. 베게도 4개나 되어서 베고 끼고 자기에 너무 좋았습니다. 침구들은 다 뽀송뽀송해서 좋았어요. 꿀잠을 잤습니다. 난방도 잘되어 따뜻했고 소음도 없었어요. 그리고 냄새가 안나서 너무 좋았어요. 컴터자리네 담배자국들은 있었으나 아무냄새도 나지 않아 좋았습니다~",4,4개월 전
y_74_005,전주 호텔젠,식물학습장소만두,점수기준) 1점.....최하 점수. 5점.....아쉬운점수 10점....아주 만족. 주차장.10점. 서비스&친절도.....10점. 객실 청결도.....10점. 욕실&화장실 만족도...10점 욕실용품&각종 어메니티 만족도.....10점. 침대&매트리스 만족도..10점. 침구류 청결도.....10점. 냉장고.....10점. 방음....10점. 냉& 난방.....10점. 티브이크기....10점 각종 OTT만족도...10점. 컴퓨터 사용 만족도..10점. 실내 조명 만족도.....10점. 재방문의사....10점.,5,5일 전
y_74_006,전주 호텔젠,배리멜로,가성비좋은숙소입니다~~~~~여기어때회원이어서쿠폰까지할인받았어요.....침대커버베게커버이불이하얀색이어서일단믿음이가더라구요~~~넷플릭스도볼수있어서숙소에있는동안혼자서지루하지않게잘때까지멀볼지고민안하고영화감상을즐길수있었어요.....시내와근접하고있어서도보로조금이동하면주변에식당이있어서식사를해결하기도좋았어요~~~~전주에이정도가격으로이정도퀄리티는찾기힘들거같네요...재방문의사있습니다~~~,4,8일 전
y_74_007,전주 호텔젠,레이첼일거얌,"외관이나 룸이나 전반적으로. 깔끔하고 청결한곳 인듯 합니다. 1.침대.깔끔하고 편해요 잘쉬었습니다. 2. tv 준수한싸이즈. 넷플사용가능. 만족 3.욕실. 아담하나 전반적으로 만적 합니다 욕조는 없음 . 큰 불편함은 없으며 바닥 미끄럽거나 물 때 없음. 4.청결상태. 양호. 괜찮습니다. 깨끗히 청소 함 느낌이었습니다. 5.주차장. 별도주차장있어서 좁지않아 마음 편히 주차함. 전체적으로. 만족하며, 이정도. 단가에. 이정도면. 좋은 편이라고 생각합니다. 다음에 재방문 가능할것 같습니다. 나중에. 출장오면. 재방문할께요.",5,24일 전
y_74_008,전주 호텔젠,gosok114,"이번에 묵은 모텔은 예상보다 훨씬 더 좋았어요. 간단히 휴식을 취하기 위해 선택한 곳이었는데, 도착하자마자 아늑하고 편안한 분위기에 마음이 놓였어요. 객실은 깔끔하고, 침대는 편안해서 피로가 싹 풀렸습니다. 욕실도 깨끗하게 관리되어 있어서 좋았고, 작은 디테일들까지 신경 쓴 모습이 보였습니다. 모던한 인테리어도 마음에 들었고, 무엇보다도 조용하고 평온한 분위기 덕분에 정말 편안하게 쉴 수 있었어요. 직원분들도 친절하게 맞아주셔서 기분 좋은 시작이었고, 가격 대비 훌륭한 시설에 만족스러웠습니다. 위치도 나쁘지 않아 주변을 돌아다니기에도 좋았고, 또 방문하고 싶을 정도로 좋은 경험이었어요. 작은 모텔이지만, 세심한 배려와 편안함이 가득한 곳이었습니다",5,1개월 전
y_74_009,전주 호텔젠,100세위협,일 때문에 모텔을 많이 이용하는데요 여기저기 전국 이용합니다 근데 여기는 숙소가 참 깔끔하고 좋네요 침구도 깔끔하고 먹을 곳도 많고 사장님도 친절하세요 배달도 잘되어있네요 편의점도 가깝구요 담배냄새도 많이 안 나서 좋았어요~~ 담번에 또 이용하겠습니다일 때문에 모텔을 많이 이용하는데요 여기저기 전국 이용합니다 근데 여기는 숙소가 참 깔끔하고 좋네요 침구도 깔끔하고 먹을 곳도 많고 사장님도 친절하세요 배달도 잘되어있네요 편의점도 가깝구요 담배냄새도 많이 안 나서 좋았어요~~ 담번에 또 이용하겠습니다,5,15일 전
y_74_010,전주 호텔젠,박출장유목민,정말 깨끗하고 좋아요 화장실도 깨끗하고 냄새도 안나고 좋았습니다 베개 이불도 냄새가안나고 육안상으론 깨끗해보입니다 방냄새도 담배쩐내가 많이나지않아 만족스러웠고 비품들도 깨끗해보였습니다 수건도 깨끗하고 냄새도 덜하고 수건도 넉넉히주셔서 잘썼습니다 티비도 잘나오고 좋았던거같네요 다음에 또 올수있으면 여기로 와야겠네요 사장님도 친절하시고 충전기도 충전도 잘돼고 좋습니다^^ 출장때문에 이지역을 가끔오는데 올때마다 여기로 오고싶습니다 주변에 먹거리도 많이있고 편의점도 많고요 주변인프라가 괜찮습니다,4,1개월 전
