id,name,nickname,review_content,rating,write_date
y_6_001,전주 MH HOTEL 객리단길점,깡둥,"전주 여행 가서 묵었던 호텔인데 객리단길 근방이라 먹을 곳도 아주 많고 , 한옥마을 , 오목대 , 수목원 이랑 가까워서 아주 좋았습니다 . 건물 외관도 깔끔 하고 프론트 직원분들도 친절해서 기분이 좋았습니다 . 방도 생각보다 넓고 , 침대도 푹신해서 편하게 잘 잤습니다 . 화장실도 넓고 , 수압도 좋아서 아주 시원하고 개운하게 씻을 수 있었습니다 . 방음도 잘되고 에어컨도 빵빵하게 잘 나왔습니다 . 주변에 있던 숯불 닭갈비집도 아주 좋습니다 .. 다음에 또 전주 놀러가게 되면 묵고싶습니다 . 감사합니다 .",5,22일 전
y_6_002,전주 MH HOTEL 객리단길점,김쫀떠기,장점 1. 객실이 넓음 이 가격에 객실이 엄청 넓어서 쾌적하게 이용했어요 2.엘베 있음 캐리어 끌고 오는데 별관과 신관 모두 엘베가 있어서 너무 편해요 3.주차도 가능해요 주차장 자리도 꽤 있어서 자차 이용하는 분들이 많이 투숙하시더라구요 뚜벅이도 한옥마을까지 가기 편해요 택시도 잘잡히고 주변에 버스 정류장도 있어요 4.수건도 기본적으로 4개 정도 구비되어 있어요 5.투숙객은 프런트에 짐 보관이 가능해서 편하게 놀다가 체크인 할 수 있었어요 6. 중문도 있어서 큰 소음을 못 느꼈어요 단점 1.어메니티가 유료예요 대부분의 숙소가 그렇지만 1000원이에요 전체적으로 가격도 저렴한 편이어서 좋았어요,5,20일 전
y_6_003,전주 MH HOTEL 객리단길점,고요한힐링,전주여행 참즐겁게보넸네요^^ mh호텔덕분에. 여행을 자주다니지만 참 맘에드는 숙소예요 청결은 우와 흰양말로 처음 들어간방은 얼마나 관리잘되었는지 맨발로 다녀도 깨끗해요 이정도면 청결은 만점이겠죠 침대는 깨끗하고 푹신하고 잠들면 편안하네요 이불은 무거워서 조금..... 욕실도 깨끗하고 금연이라 방에 잡내도 안나고 방음은 옆방에 사람들이 있는지 모를정도로 조용해서 숙면을 취하기 좋네요 개인적으로는 한옥마을과 도보10분~15분거리라 막걸리 한잔하고 걸어오기도좋네요 객리단길이라 뒷골목에 괜찮은 술집이많네요 단 새벽에 술취한 사람들이 좀있으니 여성분은 동행해서 다니면 좋을듯 전체적으로 95점 추천하고픈 숙소네요 옥에 티는 냉장고가 너무작다는거 하하하,4,2개월 전
y_6_004,전주 MH HOTEL 객리단길점,밤색지도,"전주 여행 중 별관 3층에서 숙박했어요. 별관이라 깔끔할지 걱정했는데, 실제로 가보니 에어컨도 잘 나오고 전반적으로 청결한 숙소라 만족스러웠습니다. 공용 린스, 샴푸, 바디워시가 구비되어 있어서 따로 챙기지 않아도 됐고, 생수 두 병도 비치되어 있어 편리했어요. 1층에는 전자레인지도 있어서 간단한 음식 데우기에도 좋았습니다. 주차장은 공간이 넉넉해서 주차하기 편했는데, 퇴실 시 주차장 출구에 코인을 넣어야 나갈 수 있어요. 코인은 프론트에서 받을 수 있으니 체크아웃 전에 꼭 챙기셔야 합니다. 숙소는 객사 객리단길 근처에 있어 주변 맛집이나 카페 투어하기 정말 좋은 위치예요. 방음도 잘 되어 있어 조용하게 쉴 수 있었고요. 다만, 비데는 없다는 점 참고하시면 좋겠습니다. 전주 여행하시는 분들께 깔끔하고 위치 좋은 숙소로 추천드려요!",5,12일 전
y_6_005,전주 MH HOTEL 객리단길점,69세문화평론가,"2025.06.26.-27. 1박 2일 이용했습니다. 객실이 전반적으로 아주 깔끔하고 수압도 세서 이용하는 데 불편함이 전혀 없었습니다. 프런트 선생님이 불친절하다는 리뷰가 있던데 전혀 아녔고 오히려 친절하셨습니다. 침구류도 깨끗했고, 화장실 청결 상태도 상당히 좋은 편이었습니다. 이 가격에 이정도 시설이면 상당히 만족해서 다음에 또 방문할 의향이 있습니다. 그리고 배달을 시켰는데 햇반이 잘 데워지지 않은 상태로 와서 곤란했는데 프런트에 문의해보니 각 층마다 전자레인지가 있다고 알려주셔서 다시 데우고 맛있게 먹었습니다.",4,7일 전
y_6_006,전주 MH HOTEL 객리단길점,순이레츠고,매번 별관방 예약했다가 이번엔 신관트윈으로 예약했는데 훨씬 좋긴 하네요. 침구도 진짜 푹신하고 깨끗하고 트윈방이라 더 좋아요. 화장실은 넘 좁음ㅋ,5,13일 전
y_6_007,전주 MH HOTEL 객리단길점,극명한점,"숙소깔끔하고 넓었어요! ㅎㅎ 밤새 얘기하면서 놀기좋았고 침대도 편안하더라구요! 안마의자도 있고 스타일러도 있어서 최고 ! 다만, 주차하고 잠깐 나갈때마다 주차단말기앞 코인을 넣고 나갓다와야해서 불편하더라구요... (코인은 카운터에 잇는데 안내가 없었습니다) 그외엔 좋아서 추천드려요 ~ 가성비 좋은 숙소입니다",5,3개월 전
y_6_008,전주 MH HOTEL 객리단길점,진도대교도우미,"큰 길가에 위치하고 주변에 음식점, 술집이 많아 숙박이용이 편했습니다 주차공간이 여유롭습니다 시설 및 인테리어가 깔끔하여 좋았습니다 침대와 침구는 편안했습니다. 공기는 따뜻하지 않았지만 전기매트가 있어 따뜻하게 잘 수 있습니다 큰길에 있는 리버뷰의 경우 취침시 차량 소음이 적지 않았습니다 따뜻한 물이 바로 나오지 않아 한참을 온수로 틀어놓아야 했습니다 온수 사용시 충분한 여유를 가져야 할 것 같네요 가성비가 아주 좋고, 칙칙하지 않아 편안하게 휴식할 수 있어 좋았습니다",4,4개월 전
y_6_009,전주 MH HOTEL 객리단길점,밝고진솔된송편,여러 지방으로 출장을 다니는 업무의 특성상 여러 도시의 다양한 숙소를 많이 방문해보니 여기숙소는 괜찮은 숙소 인것 같네요. 우선 청결 상태가 마음에 드는게 청소를 신경써서 하시는 것 아주 좋습니다. 자주 일어서서 일하는 특성상 침대 컨디션도 중요한데 침대 컨디션도 아주 흡족하게 사용하였습니다. 욕실도 청소상태가 깨끗하게 해놓으셨고 수도 수압도 잘나오니 정말 마음에드네요 그리고 온수도 마음에들정도로 잘나옵니다. 안내실에 계시는 분들도 친절하셔서 이 숙소에 숙박을 하셔도 좋으실겁니다,4,3개월 전
y_6_010,전주 MH HOTEL 객리단길점,가죽색레이몬드,"다들 신관, 별관 잘 구분해서 예약하세요!.. 이쪽 부근에 도보로 숙소가 많지 않아 적지 않은 가격으로 예약했는데 이 가격에 다른 숙소에 비해 별관 숙소는 청결이 좋지 않은 룸 상태에 리모델링을 좀 해놓은 느낌?.. 신관 별관 숙소 상태가 정말 많이 달라요.. 엘리베이터에서 내리자마자 살짝 당황했어요.. 문을 열고 들어갔을 땐 생각보다 괜찮았지만 조금 꼼꼼히 살펴보니.. 청결이나 룸상태가 좋지 않더라고요 신관 이용 하신 분들은 대부분 만족 하신 리뷰를 봤는데 별관은 관리가 조금 안 된 느낌입니다.. 참고로 세면도구는 별도 비용 있습니다! 주변 갈 곳이나 위치는 좋습니다!",3,2일 전
