id,name,nickname,review_content,rating,write_date
y_181_001,아늑료칸호텔 전주점,똑부러지는종군기자,너무나 만족스럽게 지네다 갑니다.,4,12일 전
y_181_002,아늑료칸호텔 전주점,째니가왔어요,가족끼리 놀로왔다가 잤는데 너무 좋았어요 주변상권이 다 가깝고 좋네요 전주 가게되면 다시 이용할게요,5,1개월 전
y_181_003,아늑료칸호텔 전주점,지니서생,숙소 정만 마음에 듭니다^^ 다음에 또 여기로 와야겠어요ㅎㅎ,5,13일 전
