id,name,review_content,rating,write_date
yeogi_accom_010_11805,라한호텔 전주,좋았어요그런데 직원은매우불친절했어위치좋았구요이제 다음에간다면한옥에서잘꺼같아요,1,2년 전
yeogi_accom_010_11806,라한호텔 전주,한옥마을 둘러보긴 좋은 위치,3,1년 전
yeogi_accom_010_11807,라한호텔 전주,한옥마을내에 있어 접근성좋아요,3,1년 전
yeogi_accom_011_11808,전주 마리 - 덕진공원점,전북대학교 캠퍼스 옆 덕진공원 근처에 자리하고 있어요주차장이 여유 있고 주변에 음식점 등 상가가 많아 편리한 곳이예요복도를 지나 방에 들어가니 크기랑 시설이 괞찬았는데 담배 냄새가 나서 사장님께 연락드렸더니 친절하게 바로 오셔서 다른 방으로 바꿔 주시면서 이것 저것 확인해 주셨구요화장실과 욕실이 분리되어 있어 편리했고 방음도 잘되어 편하게 쉬었습니다아침에 간단한 조식이 변도의 공간에 마련되어 있어서 이용 잘했습니다조식 후 가까운 덕진 공원 산책으로 힐링하게 되어 좋은 숙소로 기억됩니다,4,1개월 전
yeogi_accom_011_11809,전주 마리 - 덕진공원점,전주 삼천동 막걸리골목에서 맛있는 식사를 하고 여기어때를 통해 묵을 숙소를 찾던 중 특가 35000원에 사진으로도 훌륭한 방을 찾고 와이프와 하루를 묵었는데 아내도 대만족 저도 대만족입니다 방은 특실과 다름이 없었는데 배쓰룸에 비데와 욕조가 있어서 더 감사했던 것 같습니다 늘 애용하는 여기어때를 통해 매번  저렴하게 아주 좋은 평점의 숙소를 싼 가격이나 경제적인 비용으로 매번 이용하니 우리 일상의 아주 좋은 애플리케이션이라 여겨집니다전주 마리호텔 덕진공원점 감사하게 잘 이용했습니다감사합니다 강추,4,2개월 전
yeogi_accom_011_11810,전주 마리 - 덕진공원점,숙소가 참 좋습니다인테리어도 깔끔한것 같습니다숙소가 따뜻합니다제공 소모품류가 있어서 편리했습니다가격이 합리적입니다주차공간이 있어 편리합니다티비가 있고 도 볼 수 있습니다청결하게 관리되어 있습니다주변 편의점이 잘 되어 있습니다숙소가 따뜻합니다인테리어가 깔끔하고 모던합니다편리하고 안락하게 쉬고갈수있습니다,5,2개월 전
yeogi_accom_011_11811,전주 마리 - 덕진공원점,직원들이 매우 친절하고 응대가 빠르게 이루어져 처음부터 기분 좋게 숙박할 수 있었습니다 객실은 깔끔하고 넓은 편이며 침구도 포근해서 하루 종일 피로했던 몸을 충분히 쉴 수 있었어요 욕실도 청결했고 수압이나 온도 모두 만족스러웠습니다 숙소 위치도 좋아서 주요 관광지나 맛집 대중교통 이용이 편리했고 주변에 편의시설도 많아 머무는 동안 전혀 불편함이 없었습니다 조용하고 쾌적해서 재방문 의사 있습니다 어메니티도 안에 무료로 있고 주차 시설도 잘 있어서 편하게 이용했어요,4,1일 전
yeogi_accom_011_11812,전주 마리 - 덕진공원점,체크아웃까지 모든 과정이 원활했고 호스트도 친절하게 안내해주셔서 편안하게 머물 수 있었습니다 침구류가 청결하고 침대도 푹신해서 숙면을 취할 수 있었어요 주변에 맛집과 카페도 가까워 위치도 만족스러웠습니다 다음에 또 방문하고 싶어요---숙소에 도착했을 때 첫인상부터 매우 좋았습니다 외관도 깔끔하고 실내는 사진으로 봤던 것보다 훨씬 넓고 정돈되어 있어 만족스러웠습니다 특히 청결 상태가 인상 깊었는데 바닥이며 침구 화장실까지 먼지 하나 없이 잘 정리되어 있어 기분 좋게 머물 수 있었습니다 침대는 푹신하고 편안해서 하루 종일 걸어 다닌 피로를 충분히 풀 수 있었고 에어컨과 난방도 잘 작동해 쾌적한 온도를 유지할 수 있었습니다 숙소 내에 마련된 어메니티도 다양하고 퀄리티가 좋아서 따로 챙겨온 물품 없이도 편리하게 이용할 수 있었습니다,5,2일 전
yeogi_accom_011_11813,전주 마리 - 덕진공원점,오랜만에 출장차 왔습니다 지난번에도 예약 시간보다 일찍 도착했는데 이번에도 역시 친절하게 맞아주시네요 전주올때 마다 이용하는데 프라이빗하고 너무 좋습니다 조금만 걸으면 식당가도 있고 숙소는 조용하니 너무 좋습니다 층간소음도 없고 침대나 침구도 너무 마음에 듭니다 화장실도 냄새하나 나지 않고 숙소에 담배냄새 하나 없어 너무 좋습니다 매번 올때마다 숙면하는데 오늘도 그럴거 같네요 냉장고에 물도 넉넉합니다 가성비 너무 굿이고요 출장올때마다 이용할 예정입니다 건승하시고 다음에 또 올게요,5,20일 전
yeogi_accom_011_11814,전주 마리 - 덕진공원점,숙소에 도착하니 우선 주차장이 넓어서 좋아요사장님도 친절하게 설명도 잘 해주시고 방 배정 받고 5층으로 생각보다 방이 넘 좋았어요아침에 간단하게 먹을 수 있는 조식 서비스도 좋아고 숙소에서 가까운 곳에 산책 할 수 있는 곳도  있어 좋았어요,5,5일 전
