id,name,review_content,rating,write_date
yeogi_accom_004_2764,전주 투썸스테이-중화산점,숙소깨끗하고 너무좋았어요 침대 굿,5,1년 전
yeogi_accom_004_2765,전주 투썸스테이-중화산점,자꾸 오게  되네요좋아요,5,1년 전
yeogi_accom_004_2766,전주 투썸스테이-중화산점,시설도 좋고 방음도 좋아요,5,1년 전
yeogi_accom_004_2767,전주 투썸스테이-중화산점,항상 잘 이용하고있습니다,5,1년 전
yeogi_accom_004_2768,전주 투썸스테이-중화산점,308에어컨 물이 방으로 떨어져요,3,1년 전
yeogi_accom_004_2769,전주 투썸스테이-중화산점,깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ깨끗하고 아주 좋아요ㅎㅎㅎ 굿,4,1년 전
yeogi_accom_004_2770,전주 투썸스테이-중화산점,매번 가는 곳이에요 진짜 좋아요,4,1년 전
yeogi_accom_004_2771,전주 투썸스테이-중화산점,방이 매우 넓고 더블베드2개라 매우 여유롭네요 티비도 커서 굿굿 다음에도 또 여행올때 오고 싶어요,5,1년 전
yeogi_accom_004_2772,전주 투썸스테이-중화산점,감사히 잘 쉬었습니다,4,1년 전
yeogi_accom_004_2773,전주 투썸스테이-중화산점,금연실이라서 너무 좋았어요,5,1년 전
yeogi_accom_004_2774,전주 투썸스테이-중화산점,상당히 뜨겁게 잘 놀다갑니다 ,5,1년 전
yeogi_accom_004_2775,전주 투썸스테이-중화산점,불친절합니다돈밖에 모르고요,0,1년 전
yeogi_accom_004_2776,전주 투썸스테이-중화산점,좋아요 깨끗했습니다주변 먹거리도 좋고 전주 한가운데라 어디든 가까워요,4,1년 전
yeogi_accom_004_2777,전주 투썸스테이-중화산점,잘 쉬다 갑니다 ㅎㅎ 또 올께요,5,1년 전
yeogi_accom_004_2778,전주 투썸스테이-중화산점,잘 묵다 가요 요새 맨날 가는곳,5,1년 전
yeogi_accom_005_2779,전주 MH HOTEL 중화산동점,모던하고 따뜻한 인테리어에 청결 상태도 깔끔했어요 담배냄새도 안나고 방음도 잘 되서 좋았습니다 안내데스크 직원분도 너무 친절하시네요근처 관광지들과 거리가 가까워서 이동하기 편했고 12분 거리에 편의점약국올리브영도 있어서 간식이나 비상약 사러 나가기 좋았어요주차공간도 넓어서  마음 편하게 주차 할 수 있었어요여행중에 컨디션 나빠지면 돌아다니기 힘든데이 숙소는 전기장판안마기가 있어서 컨디션 관리하기 좋았어요 스타일러로 옷 컨디션까지 관리 할 수 있어서 깔끔한 여행할 수 있었습니다,5,2개월 전
