id,name,review_content,rating,write_date
yeogi_accom_013_14628,전주 아늑료칸호텔 전주점,아주 따뜻하게 잘 쉬다갔습니다,5,3개월 전
yeogi_accom_013_14629,전주 아늑료칸호텔 전주점,너무너무 좋았어요진짜 가성비도 너무 좋고 다음에 또 방문하려고요,5,3개월 전
yeogi_accom_013_14630,전주 아늑료칸호텔 전주점,정말  좋았습니다 다음에또 예약할게요,5,3개월 전
yeogi_accom_013_14631,전주 아늑료칸호텔 전주점,숙소 굉장히 깔끔하고 시설도 다 너무 좋았습니다체크인 시간 전 짐보관도 당연히 가능하고 사장님이 친절합니다 그리고 다른곳보다 조식의 종류가 많아서 좋은 거 같습니다체크인시간보다 2시간 일찍왔는데 사장님께 문의해보니 일찍 들어오게도 해주시고 너무 친절하셔서 좋았습니다그리고 2명이라고 하시니까 방도 되게 넓은 곳으로 바꿔주시고 조식도 따로 준비해주셔서 기분이 좋았습니다당분간 전주에 계속 올꺼같은데 별일없으면 계속 여기 이용할거 같습니다 완전 숙소 좋았습니다,5,2일 전
yeogi_accom_013_14632,전주 아늑료칸호텔 전주점,들어가자마자 일회용품도 다 있고 깔끔합니다있을 것은 다 있습니다 ㅎㅎ 사진이랑 다른 점은 거의 없이 비슷합니다 전등은 분위기 있게 여러 개 있어서 켰다 껏다 할 수 있습니다 ㅎㅎ 인테리어도 이쁘고 깔끔하게 되어 있어서 쾌적합니다 침대는 편안하며 누워 있으면 아주 잠이 솔솔 옵니다 ㅎㅎㅎㅎㅎ 티비는 작은 니모컨으로 움직이면 알아서 원하는 채널로 이동이 되어 즐겁게 시간을 보낼 수 있었습니다 ㅎㅎ 화장실도 방음이 잘 되는 것 같네요 다음번에 또 방문시에 다시 올 것 같아요 추천해요,5,3개월 전
yeogi_accom_014_14633,전주 더케이,가격대비로 일단 정했는데 잘한듯합니다일단가시면 모텔 모텔이 있는데 두군데 같이 운영을 합니다그래서 카운터 는 큐 모텔에서 받아야합니다주차장은두군데 다써도 됩니다될때가없으면 차를 대주시기도합니다방은깨끗합니다 티비도 커요 넷플도 되구요 컴퓨터도 빨라요 침대 이불도 호텔식 두꺼운거를 쓰시네요욕조도 있어서 좋구요 냉장고에는 물두개있네요 다른음료는없고 믹스커피는 안보였어요댓글처럼 물 수압이 쎄서 아팠어요 ㅎ뜨거운물 갑자기 나올수 있으니 조심 하세요저는 다음도 이용할겁니다,5,20일 전
yeogi_accom_014_14634,전주 더케이,출창시 가끔들리는곳이예요이모님이 친절하셔서 주중한두번이용하고잇어요컴퓨터 스타일러 잘작동되고 혼자사용하는데는 가성비로봣을때 괜찮은곳이예요 다음에또이용할께요출창시 가끔들리는곳이예요이모님이 친절하셔서 주중한두번이용하고잇어요컴퓨터 스타일러 잘작동되고 혼자사용하는데는 가성비로봣을때 괜찮은곳이예요 다음에또이용할께요출창시 가끔들리는곳이예요이모님이 친절하셔서 주중한두번이용하고잇어요컴퓨터 스타일러 잘작동되고 혼자사용하는데는 가성비로봣을때 괜찮은곳이예요 다음에또이용할께요출창시 가끔들리는곳이예요이모님이 친절하셔서 주중한두번이용하고잇어요컴퓨터 스타일러 잘작동되고 혼자사용하는데는 가성비로봣을때 괜찮은곳이예요 다음에또이용할께요,5,2개월 전
yeogi_accom_014_14635,전주 더케이,오랜만에 저녁먹고 케이모텔에 들렸는데 변함없이 가격대도 유지해주셔서 정말 감사합니다칫솔이나 치약은 구비되어있으며 물도 두개 구비 되어 있네요 근처 맥도날드나 먹자골목이 있어서 놀러오신분들은 케이 강추 드립니다 요즘 자주 가지 않았어서 계속 방문 해야겠네요바로앞에 씨유 편의점도 있어서 편의점 찾아다니는 고생 하지 않아도 됩니다그리고 무엇보다 스타일러가 준비되어 있어서 고기나 냄새 있는 음식 드시고 스타일러 이용하시면 될 것 같습니다 재방문할게용,5,2개월 전
yeogi_accom_014_14636,전주 더케이,위치가 정말 좋습니다 대중교통 이용이 편리하고 주변에 편의점 음식점 카페 등 필요한 시설이 가까워 이동에 전혀 불편함이 없었어요 숙소 내부는 정말 청결하게 관리되고 있었습니다 바닥 침구 화장실까지 먼지 하나 없이 깨끗했고 냄새 없이 쾌적한 공기가 유지되어서 기분 좋게 머물 수 있었어요 수건 어메니티도 넉넉하게 준비되어 있었고 전자기기나 조명도 모두 잘 작동했습니다 체크인과 체크아웃도 비대면으로 간편하게 이루어져서 번거로움 없이 이용할 수 있었고 설명도 잘 되어 있어 누구든 쉽게 숙박할 수 있을 것 같아요 전반적으로 편리함과 청결 두 가지를 가장 중요하게 생각하시는 분들께 적극 추천드릴 수 있는 곳입니다 다음에도 재방문 의사 100입니다,5,9일 전
yeogi_accom_014_14637,전주 더케이,전주에  작년에 볼일 보려 오면서 케이모텔에 잘잤는데 이번에 또 볼일 본다고 대전에서 볼일보고 여기어때에서 더케이모텔로 이름이 바꿨네요내부도 다시 리모델링 한것 같은데아무튼 여사장님께서 친절하게  맞이 해 주셨어요 남편이랑 조용이 지내라고  좋은 방으로  주셔서 감사했습니다차 주차하고 저녁 먹으러 나갔다가 방에 들어오니 더욱더 방이 깨끗하고 담배 냄새하나 없이 쾌적하니 기분이 좋았습니다편의점 가깝고 먹거리가 많아 좋습니다물도 잘 나오고 오늘 넘 더웠는데 방에 들어오니 시원하게 잘 잘것 같습니다 사장님 대박 나셔용,5,13일 전
