id,name,review_content,rating,write_date
yeogi_accom_020_20120,전주 Q-큐,자주 가는곳입니다 일단 사장님이 너무 친절하세요방도 넓고 수압이 엄청쌔고 전기장판도 있고 뜨거운물도 엄청 잘나옵니다 수압이랑 뜨거운물이 엄청 잘나와서 조절 잘하세요주차할곳도 많아요 넷플릭스도 잘 나오고 모텔앞에 바로 편의점도 있어서 편리해요 넷플릭스 로그인 풀려있거나 하면 전화하면 친절하게 알려주시고 항상 살갑게 반겨주셔서 좋습니다 또한 가격도 다른모텔에 비해 저렴하구요 진짜 좋은거같습니다 오래오래 유지됬으면 좋겠어요,5,4일 전
yeogi_accom_020_20121,전주 Q-큐,자주 가는곳입니다 일단 사장님이 너무 친절하세요방도 넓고 수압이 엄청쌔고 전기장판도 있고 뜨거운물도 엄청 잘나옵니다 수압이랑 뜨거운물이 엄청 잘나와서 조절 잘하세요주차할곳도 많아요 넷플릭스도 잘 나오고 모텔앞에 바로 편의점도 있어서 편리해요 넷플릭스 로그인 풀려있거나 하면 전화하면 친절하게 알려주시고 항상 살갑게 반겨주셔서 좋습니다 또한 가격도 다른모텔에 비해 저렴하구요 진짜 좋은거같습니다 오래오래 유지됬으면 좋겠어요,5,4일 전
yeogi_accom_020_20122,전주 Q-큐,조용한 분위기의 모텔에서 하루 숙박했는데 전체적으로 매우 만족스러웠습니다 체크인 과정은 빠르고 직원분도 친절하게 안내해주셔서 첫인상부터 좋았어요 객실은 생각보다 넓고 깔끔했으며 침구 상태도 뽀송하고 청결해서 푹 잘 수 있었습니다 에어컨과  와이파이 등 기본 편의시설도 잘 갖춰져 있었고 욕실은 따뜻한 물이 잘 나와서 피로 풀기에 좋았어요 외부 소음도 거의 없어 조용히 쉬기에 안성맞춤이었습니다 전반적으로 가격 대비 훌륭한 숙소였고 다음에도 다시 이용하고 싶은 곳입니다,4,1일 전
yeogi_accom_020_20123,전주 Q-큐,전주 중화산동 모텔촌에위치하고있습니다전북도청이랑가깝고한옥마을도멀지않아요방은적당하고깨끗한편입니다창문이커서환기시키기에도좋습니다넷플릭스가로그아웃되어있어서이용할수없는상태였어요에어컨시원하고선풍기도설치되어있습니다침대는적당하게푹신해서편하게잘수있어요샤워기수압도좋고온수도잘나와요방에기본으로스타일러가설치되어있습니다전주에오면다음에도재방문할의사는있습니다가운은1층에서요청하셔야합니다,4,24일 전
yeogi_accom_020_20124,전주 Q-큐,5월20일화 전주 출장이 있어  여기어때를  통해 모텔 숙박 예약을 했습니다쿠폰할인도 받았지만 2만 원대 숙박료 가성비 진짜 좋습니다건물의 노후화는 좀 있지만 이용시설물 사용에 불편함이 없습니다객실내 청소상태도 좋고 침구류 등 깨끗합니다주차장도 넉넉하고 주변에 편의점 식당 술집 등 주변 인프라도 괜찮습니다20일 날씨가 무더워 객실내 에어컨을 좀 틀었는데 냉기 빵빵합니다욕실 수압도 좋고 이 가성비에 1박 숙박하기 너무 좋습니다편히 잘 묵고 갑니다,5,1개월 전
yeogi_accom_020_20125,전주 Q-큐,출장 중 하루 묵었던 모텔인데 생각보다 매우 깔끔하고 조용해서 만족스러웠습니다 침구류도 청결했고 에어컨도 잘 작동해서 무더운 날씨에도 쾌적하게 지낼 수 있었습니다 프런트 직원도 친절해서 체크인과 체크아웃이 수월했고 주변에 편의점과 음식점이 가까워서 편리했습니다 가격 대비 시설도 훌륭했고 욕실 상태도 깨끗해 사용하기에 불편함이 없었습니다 다음에 근처에 올 일이 있다면 재방문할 의향이 있습니다 가성비 좋은 숙소를 찾는 분들께 추천드립니다 좋네요,5,15일 전
yeogi_accom_020_20126,전주 Q-큐,출장이 많습니다이곳저곳 동가숙서가식 할때가 많습니다숙소를 고를때 처음으로제 1번으로 계절에 따른 방 컨디션을 중요시 합니다추울때는 따뜻함더울때는 시원하고 쾌적합니다또한 주차장을 중요시 합니다여기는 내부에도 있고 외부에도 넓은 주차장이 있어서 아주 편합니다방도 넓고깨끗하고쾌적합니다화장실도 깨끗하고넓습니다주변의 시설도 편의점도 가깝고식당가도 근접해서 아주 편리합니다음식 맛도 좋습니다 가성비도 아주 좋습니다적극 추천합니다다음에 또 올 예정입니다,4,16일 전
yeogi_accom_020_20127,전주 Q-큐,자주 가는곳입니다 일단 사장님이 너무 친절하세요방도 넓고 수압이 엄청쌔고 전기장판도 있고 뜨거운물도 엄청 잘나옵니다 수압이랑 뜨거운물이엄청 잘나와서 조절 잘하세요주차할곳도 많아요넷플릭스도 잘 나오고 모텔앞에 바로 편의점도 있어서편리해요 넷플릭스 로그인 풀려있거나 하면 전화하면친절하게 알려주시고 항상 살갑게 반겨주셔서 좋습니다 또한 가격도 다른모텔에 비해 저렴하구요진짜 좋은거 같습니다 오래오래 유지됐으면 좋겠습니다,5,1개월 전
yeogi_accom_020_20128,전주 Q-큐,자주 가는곳입니다 일단 사장님이 너무 친절하세요방도 넓고 수압이 엄청쌔고 전기장판도 있고 뜨거운물도 엄청 잘나옵니다 수압이랑 뜨거운물이엄청 잘나와서 조절 잘하세요주차할곳도 많아요넷플릭스도 잘 나오고 모텔앞에 바로 편의점도 있어서편리해요 넷플릭스 로그인 풀려있거나 하면 전화하면친절하게 알려주시고 항상 살갑게 반겨주셔서 좋습니다 또한 가격도 다른모텔에 비해 저렴하구요진짜 좋은거 같습니다 오래오래 유지됐으면 좋겠습니다,5,1개월 전
yeogi_accom_020_20129,전주 Q-큐,자주 가는곳입니다 일단 사장님이 너무 친절하세요방도 넓고 수압이 엄청쌔고 전기장판도 있고에어컨도 잘됩니다뜨거운물도 엄청 잘나옵니다 뜨거운물이 잘나와서 조절 잘하세요주차할곳도많아요넷플릭스도 잘 나오고 모텔앞에 바로 편의점도있어서편리해요 넷플릭스 로그인 풀려있거나 하면 전화하면 친절하게 알려주시고 항상 살갑게 반겨주셔서 좋습니다 또한 가격도 다른모텔에 비해 저렴하구요진짜 좋은거 같습니다 오래오래 유지됐으면좋겠습니다,5,1개월 전
yeogi_accom_020_20130,전주 Q-큐,자주 가는곳입니다 일단 사장님이 너무 친절하세요방도 넓고 수압이 엄청쌔고 전기장판도 있고에어컨도 잘됩니다뜨거운물도 엄청 잘나옵니다 뜨거운물이 잘나와서 조절 잘하세요주차할곳도많아요넷플릭스도 잘 나오고 모텔앞에 바로 편의점도있어서편리해요 넷플릭스 로그인 풀려있거나 하면 전화하면 친절하게 알려주시고 항상 살갑게 반겨주셔서 좋습니다 또한 가격도 다른모텔에 비해 저렴하구요진짜 좋은거 같습니다 오래오래 유지됐으면좋겠습니다,5,1개월 전
