name,category,ratring_score,rating_count,feature,addr
전주 우아동 한옥 HOTEL,모텔,4.9,"2,849",한옥마을 8분 전주역 5분 터미널 10분,전북특별자치도 전주시 덕진구 아중4길 13
전주 중화산동 스타 호텔(star hotel),모텔,4.7,523,"한옥마을 8분, 막걸리거리 6분",전북특별자치도 전주시 완산구 한두평2길 9
전주 정가한옥스테이,펜션,4.7,361,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 기린대로 78-3
전주 우아동 호텔 루나,모텔,4.7,"2,426",전주역/한옥마을/전북대/시청/터미널10분,전북특별자치도 전주시 덕진구 아중4길 14-7
전주 덕진동 호텔 마리(덕진공원점),모텔,4.6,"5,486","버스터미널2분,덕진공원1분,한옥마을10분",전북특별자치도 전주시 덕진구 덕진연못3길 9-5
베스트웨스턴플러스 전주호텔,호텔,4.4,"1,191",전주시 전주 한옥마을 도보 10분,전라북도 전주시 완산구 현무1길 41
전주 우아동 Hotel The VIZIT,모텔,4.9,"1,364",전주한옥마을/전주터미널 7분(클릭),전북특별자치도 전주시 덕진구 아중중앙로 20
전주 우아동 호텔 투나잇(HOTEL 2NIGHT),모텔,5.0,"1,527",전주 출장/여행 추천 신축호텔,전북특별자치도 전주시 덕진구 아중4길 16
전주 금암동 뷰티 호텔,모텔,4.8,"3,237",버스터미널1분 전주역10분 한옥마을10분,전북 전주시 덕진구 용산3길 8 (금암동)
전주 다온호텔,2성급 호텔,4.8,453,전주한옥마을 도보 1분 거리,전라북도 전주시 완산구 전주천서로 49
전주 금암동 윈져,모텔,4.4,"2,411","버스터미널(1분), 전주역(10분)",전북특별자치도 전주시 덕진구 용산1길 6-3
전주 금암동 호텔 화이트(HOTEL WHITE),모텔,4.8,"1,027","한옥마을7분, 버스터미널2분, 전북대2분",전북특별자치도 전주시 덕진구 전주천동로 501 (화이트관광호텔)
전주 우아동 호텔 젠,모텔,4.2,"4,608",한옥마을7분 전주역2분 전주터미널7분,전북특별자치도 전주시 덕진구 아중4길 14-4 (호텔 젠)
전주 우아동 호텔 캐슬,모텔,4.7,"1,799",한옥마을 10분 전주역 2분 터미널7분,전북특별자치도 전주시 덕진구 아중4길 10-4 (캐슬모텔)
전주 산정동 달빛소리,모텔,4.9,"1,265",전주역 차랑 5분,전북특별자치도 전주시 덕진구 산정2길 12-21
전주 한옥마을 늘품호텔,전통호텔,4.9,834,전주한옥마을 도보 1분,전라북도 전주시 완산구 기린대로 90
전주 다가동 MH HOTEL 객리단점,모텔,4.7,"1,080",객리단길 내 / 한옥마을 도보 5분,전북특별자치도 전주시 완산구 전주천동로 230-5 (홀인원)
전주 금암동 칼튼힐호텔,모텔,4.8,"2,854",전주버스터미널 1분/전북대학교 4분,전북특별자치도 전주시 덕진구 용산3길 35
전주 신시가지 애플,모텔,4.7,235,애플모텔✔️전라북도청 도보 5분거리,전북특별자치도 전주시 완산구 홍산북로 50
