name,category,rating_score,rating_count,address,lat,lng
전주 워너비,모텔,9.1,"1,0",전북특별자치도 전주시 덕진구 덕진동2가 200-2,35.8463852,127.1209453
칼튼힐 호텔 전주,호텔비즈니스,9.1,30명,전북특별자치도 전주시 덕진구 금암동 461-15,35.8347435,127.1344824
전주 정가 한옥,게하 · 한옥,9.7,148,전북특별자치도 전주시 완산구 풍남동3가 9-9,35.8163403,127.155117
253평 예쁘고 넓은 마음엔뜰 독채 숙소 | 전주 마음엔뜰,홈&빌라,10,8명,전북특별자치도 전주시 완산구 중인동 1005-1,35.7635766,127.0906547
전주한옥마을 도화서가 스테이 독채펜션,펜션,9.9,6명,전북특별자치도 전주시 완산구 경원동2가 38-3,35.8179977,127.1489808
전주 뷰티,모텔,9.2,593,전북특별자치도 전주시 덕진구 금암동 474-1,35.8366624,127.1319152
24게스트하우스 전주점,게하 · 한옥,9.7,207,전라북도 전주시 완산구 중노송동 498-17  전주시 완산구 중노송동 498-7,35.8221964,127.1503411
전주 재즈어라운드호텔,모텔,9.7,98명,전북특별자치도 전주시 덕진구 우아동2가 921-7,35.8314457,127.1733088
전주 한옥마을 소리풍경,게하 · 한옥,9.4,68명,전라북도 전주시 완산구 풍남동3가 58-1  소리풍경 게스트하우스,35.8153526,127.1532212
전주 기린 게스트하우스,게하 · 한옥,9.3,165,전라북도 전주시 완산구 중노송동 551-18  기린게스트하우스,35.821493,127.1512724
전주 블루원,모텔,9.3,726,전북특별자치도 전주시 덕진구 금암동 699-4,35.8355859,127.1316201
전주 한옥마을 산아래,게하 · 한옥,9.7,210,전북특별자치도 전주시 완산구 교동 60-5,35.813153,127.1532925
전주한옥마을 아침스테이,펜션,9.8,31명,전북특별자치도 전주시 완산구 전동 22,35.815924,127.1483312
넘버25호텔 전주산정점,호텔비즈니스,9.7,49명,전북특별자치도 전주시 덕진구 산정동 875-13,35.8376909,127.1704686
아늑료칸호텔 전주점,호텔관광,9.8,3명,전북특별자치도 전주시 덕진구 금암동 701-4,35.8355082,127.1320696
투썸스테이 서신점,호텔비즈니스,9.3,33명,전북특별자치도 전주시 완산구 서신동 966-3,35.8359971,127.1200342
전주 포레스트그릴 글램핑,캠핑 · 글램핑,9.6,5명,전북특별자치도 전주시 완산구 서서학동 972-5,35.8018185,127.1516586
전주 한옥체험 모꼬지,게하 · 한옥,9.8,277,전라북도 전주시 완산구 교동 163,35.8118211,127.156213
전주 엠파이어,모텔,9.1,228,전북 전주시 완산구 중화산동2가 664-4,35.8128155,127.124236
전주 1박2일,모텔,8.9,351,전북특별자치도 전주시 덕진구 우아동3가 752-28,35.8474408,127.158597
전주 알프스,모텔,8.6,637,전북 전주시 완산구 중화산동2가 664-3,35.8129534,127.1242667
전주 마리호텔 터미널점,호텔비즈니스,9.1,185,전북 전주시 덕진구 금암동 697-4,35.8360318,127.1333311
전주 한옥마을 그리운 집,게하 · 한옥,9.7,62명,전북 전주시 완산구 교동 291,35.8118243,127.1507568
전주 황실관광호텔,호텔1성급,8.8,311,전북 전주시 완산구 풍남동1가 56-1,35.8179308,127.1516817
전주 한옥마을 별자리,게하 · 한옥,9.9,179,전라북도 전주시 완산구 풍남동3가 81-3,35.8165353,127.1512615
전주 한옥 독채 꽃마르트,홈&빌라,9.9,15명,전북 전주시 완산구 동완산동 323-2,35.8077992,127.1460101
전주 이가 한옥 본관,게하 · 한옥,9.4,167,전라북도 전주시 완산구 풍남동3가 7-13,35.8165897,127.1555845
전주 한옥마을 한옥솔솔,게하 · 한옥,9.8,126,전라북도 전주시 완산구 풍남동3가 67-1,35.8156907,127.1510991
전주 투나잇-2NIGHT,모텔,9.7,660,전북특별자치도 전주시 덕진구 우아동2가 923-4,35.83061,127.1734188
전주 샵 호텔-SHARP HOTEL,모텔,9.7,665,전북특별자치도 전주시 덕진구 산정동 868-1,35.8386203,127.1697708
전주 마리호텔,모텔,9.8,188,전북특별자치도 전주시 덕진구 우아동2가 919-11,35.8305833,127.1721318
호텔어라이브 전주 시화연풍,호텔비즈니스,9.3,26명,전북특별자치도 전주시 완산구 전동 166-3,35.8139527,127.1467273
전주 호텔K,모텔,9.5,142,전북특별자치도 전주시 덕진구 금암동 473-5,35.8364297,127.1311019
전주 한옥마을 알콩달콩 다락방,게하 · 한옥,9.9,220,전라북도 전주시 완산구 교동 98-5,35.8125153,127.1517009
전주 그리고봄 독채펜션,펜션,9.9,7명,전북특별자치도 전주시 완산구 교동 63-4,35.8141562,127.1533539
전주 대화사우나,모텔,9.8,546,전북 전주시 덕진구 진북동 322-65,35.8298934,127.1435046
전주 한옥마을 꽃자리,게하 · 한옥,9.9,60명,전북특별자치도 전주시 완산구 풍남동3가 81-11,35.8162973,127.1510912
전주 한옥마을 교동가온,게하 · 한옥,9.8,50명,전라북도 전주시 완산구 교동 61-4,35.8133121,127.1530958
전주한옥마을에 위치한 감성 숙소 | 전주 안녕 제제 옥상달빛,홈&빌라,9.8,14명,전북 전주시 완산구 경원동2가 40-5,35.8176774,127.1494163
전주 해밀 펜션,펜션,9.5,25명,전북특별자치도 전주시 완산구 전동 208-5,35.8125114,127.149941
전주한옥마을 메종 14,게하 · 한옥,10,35명,전라북도 전주시 완산구 교동 222-14,35.8113682,127.1513432
전주한옥마을에 위치한 감성 숙소 | 전주 안녕 제제 아침고요,홈&빌라,10,7명,전북 전주시 완산구 경원동2가 40-5,35.8176774,127.1494163
전주 슈페리어,모텔,9.1,628,전북특별자치도 전주시 덕진구 우아동3가 752-33,35.8478586,127.1594698
전주 짬,모텔,9,636,전북특별자치도 전주시 덕진구 산정동 875-1,35.8378407,127.1706246
전주 한옥마을 분 게스트하우스,게하 · 한옥,10,9명,전북 전주시 완산구 경원동2가 40-31,35.817425,127.1492188
전주 토마토,모텔,8.9,923,전북특별자치도 전주시 덕진구 금암동 701-1,35.836056,127.1328429
전주 더 메이 호텔,호텔4성급,9.5,36명,전북 전주시 덕진구 팔복동1가 333-1,35.8596902,127.0957812
전주 한옥마을 담소 황토 한옥,게하 · 한옥,9.6,129,전라북도 전주시 완산구 교동 123  .,35.8120995,127.1535327
전주 한옥마을 한옥이야기,게하 · 한옥,9.8,45명,전라북도 전주시 완산구 교동 124-8,35.8122526,127.1535585
전주 한옥마을 여별,게하 · 한옥,9.8,20명,전북특별자치도 전주시 완산구 전동 243,35.8114667,127.1501312
전주 스테이 일상이상,펜션,10,3명,전북특별자치도 전주시 완산구 중노송동 253-164,35.8245542,127.1542671
전주 여가,펜션,9.7,11명,전북특별자치도 전주시 완산구 풍남동3가 54-13,35.8155114,127.153386
전주 풍류가옥,펜션,9.7,5명,전북특별자치도 전주시 완산구 중노송동 253-93,35.8246398,127.1553107
이둔호텔 전주,호텔비즈니스,9,99명,전북 완주군 이서면 갈산리 665-17,35.8381136,127.0479203
전주 한옥마을 더 머뭄,게하 · 한옥,9.8,331,전북 전주시 완산구 풍남동3가 81-8 더 머뭄 전주 한옥숙박,35.8164766,127.1510624
전주 한옥마을 교동살래,게하 · 한옥,9.6,74명,전라북도 전주시 완산구 교동 191-7  교동살래,35.8112392,127.15337
전주한옥마을 웨이,게하 · 한옥,9.7,69명,전라북도 전주시 완산구 풍남동1가 53-3,35.8184907,127.1516918
전주한옥마을 예술가의집 시간무늬,펜션,9.9,10명,전북특별자치도 전주시 완산구 동서학동 218-3,35.808378,127.1529183
전주 한옥마을 경기전 별당채,게하 · 한옥,9.8,154,전라북도 전주시 완산구 풍남동3가 47-15  전주한옥숙박 경기전 별당채,35.8164119,127.1527838
전주 한옥마을 별빛 쉼터,게하 · 한옥,10,17명,전북 전주시 완산구 교동 211,35.8113174,127.1519307
전주 프린스 우아점,모텔,9.4,633,전북특별자치도 전주시 덕진구 우아동2가 926-5,35.8315254,127.1743418
전주 한옥마을 혜윰,게하 · 한옥,9.9,17명,전라북도 전주시 완산구 교동 213,35.8114823,127.1520065
전주 한옥마을 달빛향,게하 · 한옥,10,10명,전북특별자치도 전주시 완산구 교동 182-4  달빛향 게스트하우스,35.8114352,127.1536855
전주 한옥마을 어울림,게하 · 한옥,9.9,127,전북특별자치도 전주시 완산구 교동 61-3  어울림,35.8133028,127.1532698
반려동물 동반 가능 독채 감성숙소 | 향교길선우가,홈&빌라,10,9명,전북 전주시 완산구 교동 16-16,35.8127578,127.1582168
전주 한옥마을 꽃밭정원 예쁜집 좋은날,게하 · 한옥,9.6,149,전북특별자치도 전주시 완산구 경원동2가 40-33  꽃밭정원 예쁜집 좋은날,35.817217,127.1493371
더정가 스테이,게하 · 한옥,9.9,45명,전북특별자치도 전주시 완산구 풍남동3가 9-17,35.8160631,127.1549795
전주 여림재펜션,펜션,9.6,29명,전북 완주군 상관면 죽림리 551-3,35.7442567,127.2118037
한 팀만을 위한 독채한옥 | 전주 소소정,홈&빌라,9.8,11명,전북 전주시 완산구 교동 16-17,35.812667,127.1581868
전주 한옥마을 성심,게하 · 한옥,9.9,20명,전북 전주시 완산구 풍남동3가 83-9,35.8171412,127.1519255
전주 한옥마을 한옥미쁨,게하 · 한옥,9.9,70명,전라북도 전주시 완산구 풍남동2가 36-2,35.818589,127.152195
전주한옥마을 풍남주택,게하 · 한옥,9.7,34명,전라북도 전주시 완산구 풍남동3가 88-2  풍남주택,35.816629,127.150801
전주 천년의아침,펜션,9.4,5명,전북특별자치도 전주시 완산구 풍남동3가 16-24,35.8156431,127.1542992
전주 원색명화마을,게하 · 한옥,9.8,55명,전북특별자치도 전주시 완산구 색장동 327-2,35.8003681,127.1892309
전주 한옥마을 여지 게스트하우스,게하 · 한옥,9.6,71명,전북 전주시 완산구 경원동3가 39-4,35.820448,127.1469691
전주 그날을담다,펜션,10,3명,전북특별자치도 전주시 완산구 다가동2가 80-4,35.8138955,127.1413359
전주 호스텔&게스트하우스,게하 · 한옥,9.5,94명,전라북도 전주시 덕진구 우아동3가 745-84  전주호스텔,35.8507863,127.1607452
블루보트 게스트하우스 전주점,게하 · 한옥,9.6,98명,전라북도 전주시 완산구 경원동1가 52-3  의산빌딩 2층,35.8188634,127.1473027
전주한옥마을 서학의 아침 펜션,펜션,10,4명,전북특별자치도 전주시 완산구 동서학동 166-4,35.8089009,127.1527893
전주 한옥스테이 까치,펜션,10,4명,전북특별자치도 전주시 완산구 교동 91-8,35.8132425,127.1524679
전주 한옥마을 어린왕자 게스트하우스,게하 · 한옥,9.8,44명,전라북도 전주시 완산구 풍남동3가 60-1,35.8150769,127.1531901
전주 쑈드라이브인,모텔,9.5,24명,전북 전주시 덕진구 금암동 764-14,35.8360127,127.1311716
전주 한옥마을 사랑가득,게하 · 한옥,9.6,48명,전라북도 전주시 완산구 교동 17-3,35.8124117,127.1579886
전주 시인과짜몽 게스트하우스,게하 · 한옥,9.8,12명,전라북도 전주시 완산구 서서학동 252  시인과짜몽 게스트하우스,35.8060585,127.1515882
한옥마을 내 위치한 독채 한옥 숙소 | 참다원,홈&빌라,9.5,11명,전북 전주시 완산구 교동 16-18,35.8125675,127.1581661
전주 수호텔,모텔,9.3,97명,전북특별자치도 전주시 덕진구 우아동2가 923-7,35.8306932,127.1731595
전주 한옥마을 예원당,게하 · 한옥,9.5,62명,전라북도 전주시 완산구 풍남동3가 34-9,35.8173376,127.152723
전주 한옥마을 행복가득,게하 · 한옥,9.7,19명,전북 전주시 완산구 교동 184-3 행복가득 게스트하우스,35.8114708,127.1534622
전주 한옥마을 그림 게스트하우스,게하 · 한옥,9.7,7명,전라북도 전주시 완산구 교동 24-7,35.8127906,127.157785
전주 민트 게스트하우스,게하 · 한옥,9.8,16명,전라북도 전주시 완산구 동서학동 65-2,35.8097532,127.152682
전주 호텔 포레,모텔,9.4,13명,전북 전주시 완산구 중화산동2가 661-1,35.8145386,127.1242085
전주 한옥마을 고희,게하 · 한옥,9.6,12명,전라북도 전주시 완산구 서완산동1가 525-22,35.812584,127.1379878
전주 한옥마을 서선야,게하 · 한옥,9.7,79명,전라북도 전주시 완산구 풍남동2가 27-2  .,35.819048,127.152714
전주 한옥 황토 편백하우스,게하 · 한옥,9.8,62명,전북 전주시 완산구 동완산동 423-1 황토편백하우스,35.8078962,127.1435611
베니키아 전주한성호텔,호텔2성급,8.1,163,전북 전주시 완산구 고사동 199,35.8198606,127.1448149
전주 FX,모텔,9.4,54명,전북특별자치도 전주시 덕진구 우아동2가 924-10,35.831124,127.173482
전주 늘품호텔,모텔,9.3,37명,전북특별자치도 전주시 완산구 풍남동3가 29-3,35.8172276,127.1549885
전주 한옥마을 장수,게하 · 한옥,9.3,54명,전북특별자치도 전주시 완산구 풍남동3가 61-1  장수한옥민박,35.8150419,127.1528748
전주 호텔 캐슬,모텔,9,177,전북특별자치도 전주시 덕진구 우아동2가 925-7,35.830873,127.174107
전주 한옥마을 다나하루 게스트하우스,게하 · 한옥,9.6,54명,전라북도 전주시 완산구 전동 229-5,35.8117938,127.1502447
전주한옥마을에 위치한 감성 숙소 | 전주 안녕 제제 다시 봄,홈&빌라,9.8,4명,전북 전주시 완산구 경원동2가 40-5,35.8176774,127.1494163
전주 한옥 도원,게하 · 한옥,9.6,17명,전북 전주시 완산구 서서학동 270-2 도원 게스트하우스,35.8078192,127.1503323
전주 한옥마을 뜰안채 신관,게하 · 한옥,9.4,33명,전라북도 전주시 완산구 경원동2가 47-1  뜰안채,35.8171209,127.1493355
전주 한옥마을 강령전,게하 · 한옥,9.6,20명,전라북도 전주시 완산구 풍남동3가 67-34,35.8149912,127.1519082
전주 오래된미래 게스트하우스,게하 · 한옥,9.6,40명,전북특별자치도 전주시 완산구 교동 999-3,35.8111219,127.1632802
전주 H 호텔,모텔,9.4,51명,전북특별자치도 전주시 덕진구 우아동2가 927-2,35.8296749,127.1728544
전주 하얏트,모텔,8.9,441,전북특별자치도 전주시 덕진구 우아동3가 748-40,35.8473382,127.1573496
전주 풍류헌 한옥고택 독채,펜션,10,4명,전북특별자치도 전주시 완산구 다가동2가 53-1,35.8138174,127.1418456
전주 한옥마을 돌담집 본관,게하 · 한옥,9.7,12명,전북 전주시 완산구 풍남동3가 76-8,35.8161664,127.1514683
전주 하운드호텔 덕진공원점,호텔비즈니스,9.2,13명,전북특별자치도 전주시 덕진구 덕진동1가 1342-9,35.8460329,127.1214617
전주 한옥마을 1928 쉼마루,게하 · 한옥,9.5,31명,전라북도 전주시 완산구 교동 109-1  1928쉼마루,35.8119191,127.1525384
전주 한옥마을 꼴 게스트하우스,게하 · 한옥,9.4,52명,전북특별자치도 전주시 완산구 풍남동2가 38-3,35.8180983,127.1520221
나비잠한옥호텔,호텔2성급,9.2,50명,전북 전주시 완산구 전동 17-1,35.8161528,127.1486202
전주 한옥마을 푸른요람,게하 · 한옥,10,4명,전라북도 전주시 완산구 교동 80-12,35.8139198,127.1522947
전주 한옥마을 오목헌,게하 · 한옥,9.6,5명,전북 전주시 완산구 교동 91-10,35.8132501,127.152638
전주 씨네마,모텔,8.4,94명,전북특별자치도 전주시 완산구 고사동 464-1,35.8184981,127.1421392
전주한옥마을숙박 향촌 펜션,펜션,9.2,4명,전북특별자치도 전주시 완산구 풍남동3가 89-2,35.8172282,127.1510293
