name,category,ratring_score,rating_count,feature
전주 덕진동 하운드호텔 전주덕진,모텔,4.8,329,"버스터미널(2분), 덕진공원(1분)"
전주 중화산동 스타 호텔(star hotel),모텔,4.7,523,"한옥마을 8분, 막걸리거리 6분"
전주 정가한옥스테이,펜션,4.7,361,전주시 완산구 풍남동
전주 우아동 호텔 루나,모텔,4.7,"2,426",전주역/한옥마을/전북대/시청/터미널10분
전주 덕진동 호텔 마리(덕진공원점),모텔,4.6,"5,486","버스터미널2분,덕진공원1분,한옥마을10분"
베스트웨스턴플러스 전주호텔,호텔,4.4,"1,191",전주시 전주 한옥마을 도보 10분
전주 우아동 Hotel The VIZIT,모텔,4.9,"1,364",전주한옥마을/전주터미널 7분(클릭)
전주 우아동 호텔 투나잇(HOTEL 2NIGHT),모텔,5.0,"1,527",전주 출장/여행 추천 신축호텔
전주 금암동 뷰티 호텔,모텔,4.8,"3,237",버스터미널1분 전주역10분 한옥마을10분
전주 다온호텔,2성급 호텔,4.8,453,전주한옥마을 도보 1분 거리
전주 금암동 윈져,모텔,4.4,"2,411","버스터미널(1분), 전주역(10분)"
전주 금암동 호텔 화이트(HOTEL WHITE),모텔,4.8,"1,027","한옥마을7분, 버스터미널2분, 전북대2분"
전주 우아동 호텔 젠,모텔,4.2,"4,608",한옥마을7분 전주역2분 전주터미널7분
전주 우아동 호텔 캐슬,모텔,4.7,"1,799",한옥마을 10분 전주역 2분 터미널7분
전주 산정동 달빛소리,모텔,4.9,"1,265",전주역 차랑 5분
전주 한옥마을 늘품호텔,전통호텔,4.9,834,전주한옥마을 도보 1분
전주 다가동 MH HOTEL 객리단점,모텔,4.7,"1,080",객리단길 내 / 한옥마을 도보 5분
전주 금암동 칼튼힐호텔,모텔,4.8,"2,854",전주버스터미널 1분/전북대학교 4분
전주 신시가지 애플,모텔,4.7,235,애플모텔✔️전라북도청 도보 5분거리
전주한옥마을호텔,호텔,4.8,29,전주시 완산구 동서학동
전주 덕진동 호텔 스마일(HOTEL SMILE),모텔,4.7,"2,898",덕진예술회관건물뒷편위치
전주 호텔 더 빈센트,호텔,4.9,184,전주한옥마을 도보 3분
전주 정가한옥스테이,펜션,4.7,361,전주시 완산구 풍남동
전주 우아동 호텔 루나,모텔,4.7,"2,426",전주역/한옥마을/전북대/시청/터미널10분
전주 덕진동 호텔 마리(덕진공원점),모텔,4.6,"5,486","버스터미널2분,덕진공원1분,한옥마을10분"
베스트웨스턴플러스 전주호텔,호텔,4.4,"1,191",전주시 전주 한옥마을 도보 10분
전주 우아동 Hotel The VIZIT,모텔,4.9,"1,364",전주한옥마을/전주터미널 7분(클릭)
전주 우아동 호텔 투나잇(HOTEL 2NIGHT),모텔,5.0,"1,527",전주 출장/여행 추천 신축호텔
전주 금암동 뷰티 호텔,모텔,4.8,"3,237",버스터미널1분 전주역10분 한옥마을10분
전주 다온호텔,2성급 호텔,4.8,453,전주한옥마을 도보 1분 거리
전주 금암동 윈져,모텔,4.4,"2,411","버스터미널(1분), 전주역(10분)"
전주 금암동 호텔 화이트(HOTEL WHITE),모텔,4.8,"1,027","한옥마을7분, 버스터미널2분, 전북대2분"
전주 우아동 호텔 젠,모텔,4.2,"4,608",한옥마을7분 전주역2분 전주터미널7분
전주 우아동 호텔 캐슬,모텔,4.7,"1,799",한옥마을 10분 전주역 2분 터미널7분
전주 산정동 달빛소리,모텔,4.9,"1,265",전주역 차랑 5분
전주 한옥마을 늘품호텔,전통호텔,4.9,834,전주한옥마을 도보 1분
전주 다가동 MH HOTEL 객리단점,모텔,4.7,"1,080",객리단길 내 / 한옥마을 도보 5분
전주 금암동 칼튼힐호텔,모텔,4.8,"2,854",전주버스터미널 1분/전북대학교 4분
전주 신시가지 애플,모텔,4.7,235,애플모텔✔️전라북도청 도보 5분거리
전주한옥마을호텔,호텔,4.8,29,전주시 완산구 동서학동
전주 덕진동 호텔 스마일(HOTEL SMILE),모텔,4.7,"2,898",덕진예술회관건물뒷편위치
전주 호텔 더 빈센트,호텔,4.9,184,전주한옥마을 도보 3분
전주 한옥마을비하녹,펜션,5.0,23,전주시 완산구 중앙동
전주 우아동 에이치호텔,모텔,4.6,87,"❤넷플,티빙,왓챠,디즈니,애플 시청가능❤"
전주 재즈어라운드 호텔,호텔,4.7,490,"한옥마을 차량 5분,전주역5분,전북대8분"
전주 중화산동 호텔 루고(RUGO),모텔,4.9,208,"한옥마을 차량10분, 막걸리거리 차량8분"
전주 중화산동 호텔 시그니처 (Signature),모텔,5.0,986,전주한옥마을차량10분/전주막걸리거리 8분
전주 산정동 호텔 감스테이,모텔,4.7,"1,043","한옥마을10분,전주역2분,버스터미널7분"
전주 산정동 호텔 메이드(HOTEL MADE),모텔,4.8,"1,456",♥한옥마을10분♥
전주 산정동 료칸호텔-엣지,모텔,4.9,30,"전주역 3분, 한옥마을 10분"
전주 덕진동 호텔 워너비(HOTEL WANNABE),모텔,4.4,"4,667",◀ 눌러서 위치 확인하기
전주 중앙동 라온 호텔,모텔,4.3,71,전주한옥마을 도보 약 5분
전주 서신동 호텔 아지트,모텔,4.8,"1,108",신축 오픈! 한옥마을/전주역/터미널10분
