원본파일,추출된이름,매칭된이름,유사도,결과
전주 건축의선율독채펜션.jpg,전주 건축의선율독채펜션,전주 건축의선율독채펜션,1.0,✔ 복사됨
전주 게스트하우스휴펜션.jpg,전주 게스트하우스휴펜션,전주 게스트하우스휴펜션,1.0,✔ 복사됨
전주 경기전 별당채 한옥스테이.jpg,전주 경기전 별당채 한옥스테이,전주 부경당 한옥스테이,0.7857,🚫 복사 안함 (유사도 낮음)
전주 경기전별당채펜션.jpg,전주 경기전별당채펜션,전주 경기전별당채펜션,1.0,✔ 복사됨
전주 경원동 경원.jpg,전주 경원동 경원,전주 경원동 경원,1.0,✔ 복사됨
전주 경원동 뜰안채.jpg,전주 경원동 뜰안채,전주 경원동 경원,0.7368,🚫 복사 안함 (유사도 낮음)
전주 경원동 호텔 다빈(HOTEL DAVIN).jpg,전주 경원동 호텔 다빈(HOTEL DAVIN),전주 중화산동 호텔 인트로(HOTEL INTRO),0.6923,🚫 복사 안함 (유사도 낮음)
전주 고사동 YAJA 전주한옥마을점.jpg,전주 고사동 YAJA 전주한옥마을점,전주 YAJA전주한옥마을점,0.8485,🚫 복사 안함 (유사도 낮음)
전주 고사동 게스트하우스.jpg,전주 고사동 게스트하우스,전주 고사동 게스트하우스,1.0,✔ 복사됨
전주 고사동 씨네마.jpg,전주 고사동 씨네마,전주 고사동 씨네마,1.0,✔ 복사됨
전주 고사동 전주관광호텔.jpg,전주 고사동 전주관광호텔,전주 고사동 전주관광호텔,1.0,✔ 복사됨
전주 고사동 호텔한성.jpg,전주 고사동 호텔한성,전주 고사동 전주관광호텔,0.75,🚫 복사 안함 (유사도 낮음)
전주 공간의미게스트하우스.jpg,전주 공간의미게스트하우스,전주 휴게스트하우스,0.7826,🚫 복사 안함 (유사도 낮음)
전주 관광호텔 꽃심.jpg,전주 관광호텔 꽃심,전주 관광호텔 꽃심,1.0,✔ 복사됨
전주 교동 알지비게스트하우스.jpg,전주 교동 알지비게스트하우스,전주 알지비 게스트하우스,0.8571,🚫 복사 안함 (유사도 낮음)
전주 교동94 한옥스테이.jpg,전주 교동94 한옥스테이,전주 교동94 한옥스테이,1.0,✔ 복사됨
전주 교동가온 한옥스테이.jpg,전주 교동가온 한옥스테이,전주 교동가온 한옥스테이,1.0,✔ 복사됨
전주 교동가온펜션.jpg,전주 교동가온펜션,전주 가은채펜션,0.7059,🚫 복사 안함 (유사도 낮음)
전주 교동백작 한옥스테이.jpg,전주 교동백작 한옥스테이,전주 교동백작한옥스테이펜션,0.8889,🚫 복사 안함 (유사도 낮음)
전주 교동백작한옥스테이펜션.jpg,전주 교동백작한옥스테이펜션,전주 교동백작한옥스테이펜션,1.0,✔ 복사됨
전주 교동살래 한옥스테이.jpg,전주 교동살래 한옥스테이,전주 교동가온 한옥스테이,0.8462,🚫 복사 안함 (유사도 낮음)
전주 교동외갓집 한옥스테이.jpg,전주 교동외갓집 한옥스테이,전주 교동외갓집 한옥스테이,1.0,✔ 복사됨
전주 궁호텔.jpg,전주 궁호텔,전주 호텔유,0.8333,🚫 복사 안함 (유사도 낮음)
전주 귀거래사한옥펜션.jpg,전주 귀거래사한옥펜션,전주 귀거래사한옥펜션,1.0,✔ 복사됨
전주 그날을 담다.jpg,전주 그날을 담다,전주 그날을담다,0.9412,✔ 복사됨
전주 그네 한옥스테이.jpg,전주 그네 한옥스테이,전주 그네 한옥스테이,1.0,✔ 복사됨
전주 그랜드힐스턴호텔.jpg,전주 그랜드힐스턴호텔,전주 그랜드힐스턴호텔,1.0,✔ 복사됨
전주 그리운집 한옥스테이.jpg,전주 그리운집 한옥스테이,전주 그네 한옥스테이,0.8333,🚫 복사 안함 (유사도 낮음)
전주 그림 한옥스테이.jpg,전주 그림 한옥스테이,전주 그네 한옥스테이,0.9091,⚠ 건너뜀 (중복 파일 존재)
전주 그림게스트하우스펜션.jpg,전주 그림게스트하우스펜션,전주 게스트하우스휴펜션,0.88,🚫 복사 안함 (유사도 낮음)
전주 금농헌 한옥독채펜션.jpg,전주 금농헌 한옥독채펜션,전주 금농헌 한옥독채펜션,1.0,✔ 복사됨
전주 금암동 YAJA 전주터미널점.jpg,전주 금암동 YAJA 전주터미널점,전주 금암동 YAJA 전주터미널점,1.0,✔ 복사됨
전주 금암동 가온텔.jpg,전주 금암동 가온텔,전주 금암동 가온텔,1.0,✔ 복사됨
전주 금암동 나라.jpg,전주 금암동 나라,전주 금암동 나라,1.0,✔ 복사됨
전주 금암동 로즈마리.jpg,전주 금암동 로즈마리,전주 금암동 로즈마리,1.0,✔ 복사됨
전주 금암동 뷰티 호텔.jpg,전주 금암동 뷰티 호텔,전주 금암동 뷰티 호텔,1.0,✔ 복사됨
전주 금암동 브라운도트 전주터미널점.jpg,전주 금암동 브라운도트 전주터미널점,전주 금암동 브라운도트 전주터미널점,1.0,✔ 복사됨
전주 금암동 블루원.jpg,전주 금암동 블루원,전주 금암동 블루원,1.0,✔ 복사됨
전주 금암동 비스트.jpg,전주 금암동 비스트,전주 금암동 비스트,1.0,✔ 복사됨
전주 금암동 비지니스 호텔 궁.jpg,전주 금암동 비지니스 호텔 궁,전주 금암동 비지니스 호텔 궁,1.0,✔ 복사됨
전주 금암동 쇼 드라이브인.jpg,전주 금암동 쇼 드라이브인,전주 금암동 쇼 드라이브인,1.0,✔ 복사됨
