원본파일,추출된이름,매칭된이름,유사도,결과
전주 사계한옥 스테이.jpg,전주 사계한옥 스테이,전주 한옥 스테이 사라,0.7826,🚫 복사 안함 (유사도 낮음)
전주 사랑가득 한옥스테이.jpg,전주 사랑가득 한옥스테이,전주 사랑루 한옥스테이,0.88,🚫 복사 안함 (유사도 낮음)
전주 사랑나무한옥펜션.jpg,전주 사랑나무한옥펜션,전주 사랑나무한옥펜션,1.0,✔ 복사됨
전주 사랑루 한옥스테이.jpg,전주 사랑루 한옥스테이,전주 사랑루 한옥스테이,1.0,✔ 복사됨
전주 산야초 한옥스테이.jpg,전주 산야초 한옥스테이,전주 산야초 한옥스테이,1.0,✔ 복사됨
전주 산정동 NABI(나비).jpg,전주 산정동 NABI(나비),전주 산정동 태극,0.5833,🚫 복사 안함 (유사도 낮음)
전주 산정동 넘버25 전주산정점.jpg,전주 산정동 넘버25 전주산정점,전주 넘버25 NO.25 산정점,0.6471,🚫 복사 안함 (유사도 낮음)
전주 산정동 달빛소리.jpg,전주 산정동 달빛소리,전주 산정동 아리아,0.7619,🚫 복사 안함 (유사도 낮음)
전주 산정동 돈키호테 드라이브인.jpg,전주 산정동 돈키호테 드라이브인,전주 돈키호테 드라이브인 무인텔,0.7647,🚫 복사 안함 (유사도 낮음)
전주 산정동 료칸호텔-엣지.jpg,전주 산정동 료칸호텔-엣지,전주 료칸호텔엣지,0.7826,🚫 복사 안함 (유사도 낮음)
전주 산정동 바른 숙박 (BARUN STAY).jpg,전주 산정동 바른 숙박 (BARUN STAY),전주 산정동 바른 숙박 (BARUN STAY),1.0,✔ 복사됨
전주 산정동 스테이 호텔.jpg,전주 산정동 스테이 호텔,전주 산정동 제이즈 호텔,0.8462,🚫 복사 안함 (유사도 낮음)
전주 산정동 써밋스테이 호텔.jpg,전주 산정동 써밋스테이 호텔,전주 산정동 제이즈 호텔,0.7857,🚫 복사 안함 (유사도 낮음)
전주 산정동 아늑 호텔.jpg,전주 산정동 아늑 호텔,전주 산정동 아늑 호텔,1.0,✔ 복사됨
전주 산정동 아리아.jpg,전주 산정동 아리아,전주 산정동 아리아,1.0,✔ 복사됨
전주 산정동 에이치에비뉴(H Avenue) 전주아중지구점.jpg,전주 산정동 에이치에비뉴(H Avenue) 전주아중지구점,전주 우아동 브라운도트 전주아중지구점,0.5098,🚫 복사 안함 (유사도 낮음)
전주 산정동 제이브라운 호텔.jpg,전주 산정동 제이브라운 호텔,전주 산정동 제이즈 호텔,0.8571,🚫 복사 안함 (유사도 낮음)
전주 산정동 제이즈 호텔.jpg,전주 산정동 제이즈 호텔,전주 산정동 제이즈 호텔,1.0,✔ 복사됨
전주 산정동 짬.jpg,전주 산정동 짬,전주 산정동 태극,0.8235,🚫 복사 안함 (유사도 낮음)
전주 산정동 첫번째 호텔.jpg,전주 산정동 첫번째 호텔,전주 산정동 첫번째 호텔,1.0,✔ 복사됨
전주 산정동 칸.jpg,전주 산정동 칸,전주 산정동 태극,0.8235,🚫 복사 안함 (유사도 낮음)
전주 산정동 코자자.jpg,전주 산정동 코자자,전주 산정동 코자자,1.0,✔ 복사됨
전주 산정동 큐피트.jpg,전주 산정동 큐피트,전주 산정동 큐피트,1.0,✔ 복사됨
전주 산정동 태극.jpg,전주 산정동 태극,전주 산정동 태극,1.0,✔ 복사됨
전주 산정동 테라.jpg,전주 산정동 테라,전주 산정동 태극,0.7778,🚫 복사 안함 (유사도 낮음)
전주 산정동 플렉스호텔.jpg,전주 산정동 플렉스호텔,전주 플렉스호텔,0.8,🚫 복사 안함 (유사도 낮음)
전주 산정동 하운드호텔 전주아중지구.jpg,전주 산정동 하운드호텔 전주아중지구,하운드호텔 전주아중지구,0.7742,🚫 복사 안함 (유사도 낮음)
전주 산정동 호텔 감스테이.jpg,전주 산정동 호텔 감스테이,전주 호텔 써밋스테이,0.72,🚫 복사 안함 (유사도 낮음)
전주 산정동 호텔 레이나.jpg,전주 산정동 호텔 레이나,전주 산정동 아늑 호텔,0.72,🚫 복사 안함 (유사도 낮음)
전주 산정동 호텔 메이드(HOTEL MADE).jpg,전주 산정동 호텔 메이드(HOTEL MADE),전주 메이드HOTEL MADE,0.7805,🚫 복사 안함 (유사도 낮음)
전주 산정동 호텔 샾(Hotel Sharp).jpg,전주 산정동 호텔 샾(Hotel Sharp),전주 덕진동 호텔 쏘울(Hotel Soul),0.7083,🚫 복사 안함 (유사도 낮음)
전주 산정동 호텔 에비뉴(HOTEL AVENUE).jpg,전주 산정동 호텔 에비뉴(HOTEL AVENUE),전주 중화산동 호텔 인트로(HOTEL INTRO),0.6667,🚫 복사 안함 (유사도 낮음)
전주 산정동 호텔 에이플러스(A+).jpg,전주 산정동 호텔 에이플러스(A+),전주 에이플러스,0.5926,🚫 복사 안함 (유사도 낮음)
전주 산정동 호텔 카누(HOTEL KANU).jpg,전주 산정동 호텔 카누(HOTEL KANU),전주 중화산동 호텔 인트로(HOTEL INTRO),0.7059,🚫 복사 안함 (유사도 낮음)
전주 산정동 호텔토랑.jpg,전주 산정동 호텔토랑,전주 산정동 아늑 호텔,0.7826,🚫 복사 안함 (유사도 낮음)
전주 삼락헌한옥펜션.jpg,전주 삼락헌한옥펜션,전주 삼락헌한옥펜션,1.0,✔ 복사됨
전주 색동저고리 펜션.jpg,전주 색동저고리 펜션,전주 색동저고리 펜션,1.0,✔ 복사됨
전주 생황토방펜션.jpg,전주 생황토방펜션,전주 생황토방펜션,1.0,✔ 복사됨
전주 서노송동 기린장.jpg,전주 서노송동 기린장,전주 서노송동 기린장,1.0,✔ 복사됨
전주 서노송동 코아.jpg,전주 서노송동 코아,전주 서노송동 코아,1.0,✔ 복사됨
전주 서로한옥펜션.jpg,전주 서로한옥펜션,전주 서로 한옥펜션,0.9474,✔ 복사됨
전주 서서학동 나나.jpg,전주 서서학동 나나,전주 서서학동 나나,1.0,✔ 복사됨
전주 서선야 한옥스테이.jpg,전주 서선야 한옥스테이,전주 산야초 한옥스테이,0.8333,🚫 복사 안함 (유사도 낮음)
전주 서신동 투썸스테이.jpg,전주 서신동 투썸스테이,전주 호텔 투썸스테이 중화산점,0.6429,🚫 복사 안함 (유사도 낮음)
전주 서신동 호텔 아지트.jpg,전주 서신동 호텔 아지트,전주 서신동 호텔 아지트,1.0,✔ 복사됨
전주 선물 한옥스테이.jpg,전주 선물 한옥스테이,전주 퐁당 한옥스테이,0.8182,🚫 복사 안함 (유사도 낮음)
전주 성심게스트하우스펜션.jpg,전주 성심게스트하우스펜션,전주 게스트하우스휴펜션,0.88,🚫 복사 안함 (유사도 낮음)
전주 소담소담펜션.jpg,전주 소담소담펜션,전주 소담소담펜션,1.0,✔ 복사됨
전주 소리풍경 펜션.jpg,전주 소리풍경 펜션,전주 단경펜션,0.7059,🚫 복사 안함 (유사도 낮음)
전주 소리풍경 한옥스테이.jpg,전주 소리풍경 한옥스테이,전주 부경당 한옥스테이,0.8,🚫 복사 안함 (유사도 낮음)
전주 소소정.jpg,전주 소소정,전주 소소정,1.0,✔ 복사됨
전주 소소한 한옥.jpg,전주 소소한 한옥,전주 소소한 한옥,1.0,✔ 복사됨
전주 소소한한옥.jpg,전주 소소한한옥,전주 소소한 한옥,0.9412,⚠ 건너뜀 (중복 파일 존재)
전주 솔호텔 (SOL).jpg,전주 솔호텔 (SOL),전주 솔호텔 (SOL),1.0,✔ 복사됨
전주 송천동 호텔 더 그레이(THE GRAY).jpg,전주 송천동 호텔 더 그레이(THE GRAY),전주 덕진동 호텔 와이케이(HOTEL WAIKEI),0.566,🚫 복사 안함 (유사도 낮음)
전주 송천동 호텔 에코스테이.jpg,전주 송천동 호텔 에코스테이,전주 호텔 써밋스테이,0.6923,🚫 복사 안함 (유사도 낮음)
전주 스마일호텔.jpg,전주 스마일호텔,전주 스마일,0.8571,🚫 복사 안함 (유사도 낮음)
전주 스마트24nFG.jpg,전주 스마트24nFG,전주 스마일,0.5882,🚫 복사 안함 (유사도 낮음)
전주 스타호텔.jpg,전주 스타호텔,전주 스타 호텔,0.9333,✔ 복사됨
전주 스테이 한울자쿠지독채펜션.jpg,전주 스테이 한울자쿠지독채펜션,전주 스테이 한울자쿠지독채펜션,1.0,✔ 복사됨
전주 스테이 호텔(stay).jpg,전주 스테이 호텔(stay),전주 스테이 호텔(stay family),0.8108,🚫 복사 안함 (유사도 낮음)
전주 스테이리봄.jpg,전주 스테이리봄,전주 스테이리봄,1.0,✔ 복사됨
전주 스토리모텔.jpg,전주 스토리모텔,전주 스토리,0.8571,🚫 복사 안함 (유사도 낮음)
전주 스페이스셔틀.jpg,전주 스페이스셔틀,전주 이카로스,0.5,🚫 복사 안함 (유사도 낮음)
전주 시간무늬펜션.jpg,전주 시간무늬펜션,전주 꽃무릇펜션,0.7059,🚫 복사 안함 (유사도 낮음)
전주 시그니처 호텔.jpg,전주 시그니처 호텔,전주 시그니처 호텔,1.0,✔ 복사됨
전주 시인과짜몽 게스트하우스.jpg,전주 시인과짜몽 게스트하우스,전주 시인과짜몽 게스트하우스,1.0,✔ 복사됨
전주 시인과짜몽게스트하우스펜션.jpg,전주 시인과짜몽게스트하우스펜션,전주 시인과짜몽 게스트하우스,0.9032,⚠ 건너뜀 (중복 파일 존재)
전주 신시가지 데이나이스.jpg,전주 신시가지 데이나이스,전주 데이나이스,0.7619,🚫 복사 안함 (유사도 낮음)
전주 신시가지 스테이호텔.jpg,전주 신시가지 스테이호텔,전주 신시가지 스테이호텔,1.0,✔ 복사됨
전주 신시가지 씨투.jpg,전주 신시가지 씨투,전주 신시가지 씨투,1.0,✔ 복사됨
전주 신시가지 애플.jpg,전주 신시가지 애플,전주 신시가지 씨투,0.8,🚫 복사 안함 (유사도 낮음)
전주 신시가지 오스카.jpg,전주 신시가지 오스카,전주 신시가지 오스카,1.0,✔ 복사됨
전주 신시가지 제이메이트 호텔.jpg,전주 신시가지 제이메이트 호텔,전주 신시가지 제이메이트 호텔,1.0,✔ 복사됨
전주 신시가지 쿡.jpg,전주 신시가지 쿡,전주 신시가지 씨투,0.8421,🚫 복사 안함 (유사도 낮음)
전주 신시가지 타임.jpg,전주 신시가지 타임,전주 신시가지 씨투,0.8,🚫 복사 안함 (유사도 낮음)
전주 신시가지 호텔 U.jpg,전주 신시가지 호텔 U,전주 신시가지 호텔 아지트,0.8462,🚫 복사 안함 (유사도 낮음)
전주 신시가지 호텔 메세지.jpg,전주 신시가지 호텔 메세지,전주 신시가지 호텔 메세지,1.0,✔ 복사됨
전주 신시가지 호텔 아이.jpg,전주 신시가지 호텔 아이,전주 신시가지 호텔 아지트,0.8889,🚫 복사 안함 (유사도 낮음)
전주 신시가지 호텔 아지트.jpg,전주 신시가지 호텔 아지트,전주 신시가지 호텔 아지트,1.0,✔ 복사됨
전주 신시가지 호텔 팝.jpg,전주 신시가지 호텔 팝,전주 신시가지 호텔 아지트,0.8462,🚫 복사 안함 (유사도 낮음)
전주 신시가지 호텔 폭스-FOX 2.0.jpg,전주 신시가지 호텔 폭스-FOX 2.0,전주 호텔폭스FOX 2.0,0.8,🚫 복사 안함 (유사도 낮음)
전주 신시가지 호텔모아.jpg,전주 신시가지 호텔모아,전주 신시가지 호텔 아지트,0.8462,🚫 복사 안함 (유사도 낮음)
전주 아침스테이.jpg,전주 아침스테이,전주한옥마을 아침스테이,0.8,🚫 복사 안함 (유사도 낮음)
전주 안녕제제 게스트하우스.jpg,전주 안녕제제 게스트하우스,전주 제니홈 게스트하우스,0.8148,🚫 복사 안함 (유사도 낮음)
전주 알지비 게스트하우스.jpg,전주 알지비 게스트하우스,전주 알지비 게스트하우스,1.0,✔ 복사됨
전주 앤 게스트하우스.jpg,전주 앤 게스트하우스,전주 앤 게스트하우스,1.0,✔ 복사됨
전주 어린왕자게스트하우스.jpg,전주 어린왕자게스트하우스,전주 한옥마을 어린왕자 게스트하우스,0.8125,🚫 복사 안함 (유사도 낮음)
전주 어사화 한옥스테이.jpg,전주 어사화 한옥스테이,전주 사랑루 한옥스테이,0.8333,🚫 복사 안함 (유사도 낮음)
전주 어사화.jpg,전주 어사화,전주 어사화,1.0,✔ 복사됨
전주 어울림 한옥스테이.jpg,전주 어울림 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 어울림게스트하우스.jpg,전주 어울림게스트하우스,전주 휴게스트하우스,0.8182,🚫 복사 안함 (유사도 낮음)
전주 에비뉴 호텔.jpg,전주 에비뉴 호텔,전주 에비뉴호텔,0.9412,✔ 복사됨
전주 엑스오 XO 호텔.jpg,전주 엑스오 XO 호텔,전주 엑스오 XO 호텔,1.0,✔ 복사됨
전주 엔브릿지호텔.jpg,전주 엔브릿지호텔,전주 엔브릿지호텔,1.0,✔ 복사됨
전주 엣지호텔.jpg,전주 엣지호텔,전주 호텔유,0.7692,🚫 복사 안함 (유사도 낮음)
전주 여별게스트하우스.jpg,전주 여별게스트하우스,전주 여지 게스트하우스,0.8696,🚫 복사 안함 (유사도 낮음)
전주 여지 게스트하우스.jpg,전주 여지 게스트하우스,전주 여지 게스트하우스,1.0,✔ 복사됨
전주 연우당 한옥스테이.jpg,전주 연우당 한옥스테이,전주 퐁당 한옥스테이,0.8696,🚫 복사 안함 (유사도 낮음)
전주 영하우스.jpg,전주 영하우스,전주 영하우스,1.0,✔ 복사됨
전주 예술인의집 큰주댕이펜션.jpg,전주 예술인의집 큰주댕이펜션,전주 예술인의집 큰주댕이펜션,1.0,✔ 복사됨
전주 예술인의집마담초이펜션.jpg,전주 예술인의집마담초이펜션,전주 예술인의집마담초이펜션,1.0,✔ 복사됨
전주 예원당 한옥스테이.jpg,전주 예원당 한옥스테이,전주 퐁당 한옥스테이,0.8696,🚫 복사 안함 (유사도 낮음)
전주 예원당게스트하우스펜션.jpg,전주 예원당게스트하우스펜션,전주 게스트하우스휴펜션,0.8462,🚫 복사 안함 (유사도 낮음)
전주 오래된미래 게스트하우스.jpg,전주 오래된미래 게스트하우스,전주 오래된미래 게스트하우스,1.0,✔ 복사됨
전주 오페라 21.jpg,전주 오페라 21,전주 오페라 21,1.0,✔ 복사됨
전주 온고을 한옥스테이.jpg,전주 온고을 한옥스테이,전주 온고을 한옥스테이,1.0,✔ 복사됨
전주 옹기종기한옥독채펜션.jpg,전주 옹기종기한옥독채펜션,전주 옹기종기한옥독채펜션,1.0,✔ 복사됨
전주 완산골게스트하우스.jpg,전주 완산골게스트하우스,전주 완산골게스트하우스,1.0,✔ 복사됨
전주 왕의지밀 한옥호텔.jpg,전주 왕의지밀 한옥호텔,전주 왕의지밀 한옥호텔,1.0,✔ 복사됨
전주 우아동 CF(씨에프).jpg,전주 우아동 CF(씨에프),전주 우아동 CF(씨에프),1.0,✔ 복사됨
전주 우아동 D드라이브인 무인텔.jpg,전주 우아동 D드라이브인 무인텔,전주 우아동 D드라이브인 무인텔,1.0,✔ 복사됨
전주 우아동 FX.jpg,전주 우아동 FX,전주 우아동 FX,1.0,✔ 복사됨
전주 우아동 HOTEL SOL(솔).jpg,전주 우아동 HOTEL SOL(솔),전주 우아동 한옥 HOTEL,0.7059,🚫 복사 안함 (유사도 낮음)
전주 우아동 Hotel The VIZIT.jpg,전주 우아동 Hotel The VIZIT,전주 우아동 한옥 HOTEL,0.4865,🚫 복사 안함 (유사도 낮음)
전주 우아동 jazz around 호텔.jpg,전주 우아동 jazz around 호텔,전주 우아동 이츠 호텔,0.6061,🚫 복사 안함 (유사도 낮음)
전주 우아동 래미안.jpg,전주 우아동 래미안,전주 우아동 래미안,1.0,✔ 복사됨
전주 우아동 레드.jpg,전주 우아동 레드,전주 우아동 레드,1.0,✔ 복사됨
전주 우아동 릴렉스호텔.jpg,전주 우아동 릴렉스호텔,전주 릴렉스호텔,0.8,🚫 복사 안함 (유사도 낮음)
전주 우아동 마리호텔.jpg,전주 우아동 마리호텔,전주 우아동 호텔단아,0.8182,🚫 복사 안함 (유사도 낮음)
전주 우아동 맨하탄.jpg,전주 우아동 맨하탄,전주 우아동 맨하탄,1.0,✔ 복사됨
전주 우아동 명품 HOTEL.jpg,전주 우아동 명품 HOTEL,전주 우아동 명품 HOTEL,1.0,✔ 복사됨
전주 우아동 모로코.jpg,전주 우아동 모로코,전주 우아동 모로코,1.0,✔ 복사됨
전주 우아동 박스호텔.jpg,전주 우아동 박스호텔,전주 우아동 호텔단아,0.8182,🚫 복사 안함 (유사도 낮음)
전주 우아동 브라운도트 전주아중지구점.jpg,전주 우아동 브라운도트 전주아중지구점,전주 우아동 브라운도트 전주아중지구점,1.0,✔ 복사됨
전주 우아동 블랙스톤.jpg,전주 우아동 블랙스톤,전주 우아동 블랙스톤,1.0,✔ 복사됨
전주 우아동 센트.jpg,전주 우아동 센트,전주 우아동 센트,1.0,✔ 복사됨
전주 우아동 소울.jpg,전주 우아동 소울,전주 우아동 소울,1.0,✔ 복사됨
전주 우아동 수.jpg,전주 우아동 수,전주 우아동 필,0.875,🚫 복사 안함 (유사도 낮음)
전주 우아동 쉐르빌.jpg,전주 우아동 쉐르빌,전주 우아동 쉐르빌,1.0,✔ 복사됨
전주 우아동 아미르.jpg,전주 우아동 아미르,전주 우아동 아미르,1.0,✔ 복사됨
전주 우아동 어제처럼.jpg,전주 우아동 어제처럼,전주 우아동 어제처럼,1.0,✔ 복사됨
전주 우아동 에이치호텔.jpg,전주 우아동 에이치호텔,전주 우아동 에이치호텔,1.0,✔ 복사됨
전주 우아동 올렛.jpg,전주 우아동 올렛,전주 우아동 올렛,1.0,✔ 복사됨
전주 우아동 우아장.jpg,전주 우아동 우아장,전주 우아동 우아장,1.0,✔ 복사됨
전주 우아동 월드.jpg,전주 우아동 월드,전주 우아동 월드,1.0,✔ 복사됨
전주 우아동 이츠 호텔.jpg,전주 우아동 이츠 호텔,전주 우아동 이츠 호텔,1.0,✔ 복사됨
전주 우아동 인터네셔널 호스텔.jpg,전주 우아동 인터네셔널 호스텔,전주 우아동 이츠 호텔,0.7143,🚫 복사 안함 (유사도 낮음)
전주 우아동 임페리얼.jpg,전주 우아동 임페리얼,전주 우아동 임페리얼,1.0,✔ 복사됨
전주 우아동 첫마중.jpg,전주 우아동 첫마중,전주 우아동 첫마중,1.0,✔ 복사됨
전주 우아동 청담.jpg,전주 우아동 청담,전주 우아동 청담,1.0,✔ 복사됨
전주 우아동 큐브 505 (CUBE 505).jpg,전주 우아동 큐브 505 (CUBE 505),전주 우아동 큐브 505 (CUBE 505),1.0,✔ 복사됨
전주 우아동 프린스.jpg,전주 우아동 프린스,전주 우아동 프린스,1.0,✔ 복사됨
전주 우아동 필.jpg,전주 우아동 필,전주 우아동 필,1.0,✔ 복사됨
전주 우아동 하얏트.jpg,전주 우아동 하얏트,전주 우아동 하얏트,1.0,✔ 복사됨
전주 우아동 한옥 HOTEL.jpg,전주 우아동 한옥 HOTEL,전주 우아동 한옥 HOTEL,1.0,✔ 복사됨
전주 우아동 호텔 노이(HOTEL NEUE).jpg,전주 우아동 호텔 노이(HOTEL NEUE),전주 금암동 호텔 화이트(HOTEL WHITE),0.72,🚫 복사 안함 (유사도 낮음)
전주 우아동 호텔 늘.jpg,전주 우아동 호텔 늘,전주 우아동 호텔 젠,0.9091,✔ 복사됨
전주 우아동 호텔 라임(HOTEL LIME).jpg,전주 우아동 호텔 라임(HOTEL LIME),전주 금암동 호텔 화이트(HOTEL WHITE),0.72,🚫 복사 안함 (유사도 낮음)
전주 우아동 호텔 루나.jpg,전주 우아동 호텔 루나,전주 우아동 호텔 젠,0.8696,🚫 복사 안함 (유사도 낮음)
전주 우아동 호텔 야.jpg,전주 우아동 호텔 야,전주 우아동 호텔 야,1.0,✔ 복사됨
전주 우아동 호텔 어반스테이 아중점.jpg,전주 우아동 호텔 어반스테이 아중점,전주 호텔 어반스테이아중점,0.8485,🚫 복사 안함 (유사도 낮음)
전주 우아동 호텔 위너(HOTEL WINNER).jpg,전주 우아동 호텔 위너(HOTEL WINNER),전주 금암동 호텔 화이트(HOTEL WHITE),0.7308,🚫 복사 안함 (유사도 낮음)
전주 우아동 호텔 자우리.jpg,전주 우아동 호텔 자우리,전주 우아동 호텔 젠,0.8333,🚫 복사 안함 (유사도 낮음)
전주 우아동 호텔 젠.jpg,전주 우아동 호텔 젠,전주 우아동 호텔 젠,1.0,⚠ 건너뜀 (중복 파일 존재)
전주 우아동 호텔 캐슬.jpg,전주 우아동 호텔 캐슬,전주 우아동 호텔 캐슬,1.0,✔ 복사됨
전주 우아동 호텔 투나잇(HOTEL 2NIGHT).jpg,전주 우아동 호텔 투나잇(HOTEL 2NIGHT),전주 금암동 호텔 화이트(HOTEL WHITE),0.6792,🚫 복사 안함 (유사도 낮음)
전주 우아동 호텔단아.jpg,전주 우아동 호텔단아,전주 우아동 호텔단아,1.0,✔ 복사됨
전주 웨이.jpg,전주 웨이,전주 더케이,0.7273,🚫 복사 안함 (유사도 낮음)
전주 윈.jpg,전주 윈,전주 윈,1.0,✔ 복사됨
전주 유정 게스트하우스.jpg,전주 유정 게스트하우스,전주 톡 게스트하우스,0.8696,🚫 복사 안함 (유사도 낮음)
전주 은행로 86.2 게스트하우스.jpg,전주 은행로 86.2 게스트하우스,전주 은행로 86.2 게스트하우스,1.0,✔ 복사됨
전주 이목대 게스트하우스.jpg,전주 이목대 게스트하우스,전주 이목대 게스트하우스,1.0,✔ 복사됨
전주 이오당펜션.jpg,전주 이오당펜션,전주 이오당펜션,1.0,✔ 복사됨
전주 이화원힐링공간독채펜션.jpg,전주 이화원힐링공간독채펜션,전주 이화원힐링공간독채펜션,1.0,✔ 복사됨
전주 인디고펜션.jpg,전주 인디고펜션,전주 루와펜션,0.6667,🚫 복사 안함 (유사도 낮음)
전주 인재고택 학인당 Heritage Stay.jpg,전주 인재고택 학인당 Heritage Stay,전주 인재고택 학인당 Heritage Stay,1.0,✔ 복사됨
전주 인터내셔널 호스텔.jpg,전주 인터내셔널 호스텔,전주 타임 호텔,0.6,🚫 복사 안함 (유사도 낮음)
전주 인터내셔널호스텔펜션.jpg,전주 인터내셔널호스텔펜션,전주 호텔유,0.5263,🚫 복사 안함 (유사도 낮음)
전주 인후동 뉴하얏트.jpg,전주 인후동 뉴하얏트,전주 인후동 뉴하얏트,1.0,✔ 복사됨
전주 인후동 라임 무인텔.jpg,전주 인후동 라임 무인텔,전주 인후동 라임 무인텔,1.0,✔ 복사됨
전주 자만재 게스트하우스.jpg,전주 자만재 게스트하우스,전주 자요 게스트하우스,0.88,🚫 복사 안함 (유사도 낮음)
전주 자만재.jpg,전주 자만재,전주한옥마을 자만재,0.75,🚫 복사 안함 (유사도 낮음)
전주 자요 게스트하우스.jpg,전주 자요 게스트하우스,전주 자요 게스트하우스,1.0,✔ 복사됨
전주 재즈어라운드 호텔.jpg,전주 재즈어라운드 호텔,전주 재즈어라운드 호텔,1.0,✔ 복사됨
전주 전주이야기펜션.jpg,전주 전주이야기펜션,전주 전주이야기펜션,1.0,✔ 복사됨
전주 전주하숙.jpg,전주 전주하숙,전주 전주하숙,1.0,✔ 복사됨
전주 전주한옥마을웨이펜션.jpg,전주 전주한옥마을웨이펜션,전주 한옥마을이화고택펜션,0.7692,🚫 복사 안함 (유사도 낮음)
전주 전주한옥온유.jpg,전주 전주한옥온유,전주 전주한옥온유,1.0,✔ 복사됨
전주 정가한옥 & 더정가 스테이.jpg,전주 정가한옥 & 더정가 스테이,전주 한옥 스테이 사라,0.6207,🚫 복사 안함 (유사도 낮음)
전주 정가한옥스테이.jpg,전주 정가한옥스테이,전주 명문가 한옥스테이,0.8182,🚫 복사 안함 (유사도 낮음)
전주 정담전통한옥펜션.jpg,전주 정담전통한옥펜션,전주 정담전통한옥펜션,1.0,✔ 복사됨
전주 제니홈 게스트하우스.jpg,전주 제니홈 게스트하우스,전주 제니홈 게스트하우스,1.0,✔ 복사됨
전주 제니홈 전주게스트하우스펜션.jpg,전주 제니홈 전주게스트하우스펜션,전주 제니홈 게스트하우스,0.8667,🚫 복사 안함 (유사도 낮음)
전주 제인당.jpg,전주 제인당,전주 제인당,1.0,✔ 복사됨
전주 제인당풍남동점펜션.jpg,전주 제인당풍남동점펜션,전주 제인당풍남동점펜션,1.0,✔ 복사됨
전주 좋은날 한옥스테이.jpg,전주 좋은날 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 좋은날한옥펜션.jpg,전주 좋은날한옥펜션,전주 해솔한옥펜션,0.7368,🚫 복사 안함 (유사도 낮음)
전주 중노송동 파인.jpg,전주 중노송동 파인,전주 중노송동 파인,1.0,✔ 복사됨
전주 중앙동 감영루 한옥텔.jpg,전주 중앙동 감영루 한옥텔,전주 한옥마을 감영루,0.56,🚫 복사 안함 (유사도 낮음)
전주 중앙동 라온 호텔.jpg,전주 중앙동 라온 호텔,전주 라온 호텔,0.8,🚫 복사 안함 (유사도 낮음)
전주 중앙동 한옥호텔 궁.jpg,전주 중앙동 한옥호텔 궁,전주 한옥호텔 궁,0.8182,🚫 복사 안함 (유사도 낮음)
전주 중화산동 MH HOTEL 중화산점.jpg,전주 중화산동 MH HOTEL 중화산점,전주 MH HOTEL 중화산동점,0.8421,🚫 복사 안함 (유사도 낮음)
전주 중화산동 Q.jpg,전주 중화산동 Q,전주 중화산동 Q,1.0,✔ 복사됨
전주 중화산동 YAJA 중화산점.jpg,전주 중화산동 YAJA 중화산점,전주 금암동 YAJA 전주터미널점,0.6286,🚫 복사 안함 (유사도 낮음)
전주 중화산동 라베호텔(LABE HOTEL).jpg,전주 중화산동 라베호텔(LABE HOTEL),전주 라베호텔(LABE HOTEL),0.8837,🚫 복사 안함 (유사도 낮음)
전주 중화산동 로데오.jpg,전주 중화산동 로데오,전주 중화산동 로데오,1.0,✔ 복사됨
전주 중화산동 루이.jpg,전주 중화산동 루이,전주 중화산동 Q,0.8421,🚫 복사 안함 (유사도 낮음)
전주 중화산동 몽블랑.jpg,전주 중화산동 몽블랑,전주 중화산동 Q,0.8,🚫 복사 안함 (유사도 낮음)
전주 중화산동 브라운도트 전주중화산점.jpg,전주 중화산동 브라운도트 전주중화산점,전주 브라운도트 중화산동점,0.7647,🚫 복사 안함 (유사도 낮음)
전주 중화산동 브라이튼 호텔(BRIGHTEN HOTEL).jpg,전주 중화산동 브라이튼 호텔(BRIGHTEN HOTEL),전주 라베호텔(LABE HOTEL),0.64,🚫 복사 안함 (유사도 낮음)
전주 중화산동 스타 호텔(star hotel).jpg,전주 중화산동 스타 호텔(star hotel),전주 스테이 호텔(stay family),0.5957,🚫 복사 안함 (유사도 낮음)
전주 중화산동 스페셜.jpg,전주 중화산동 스페셜,전주 중화산동 스페셜,1.0,✔ 복사됨
전주 중화산동 알프스.jpg,전주 중화산동 알프스,전주 중화산동 알프스,1.0,✔ 복사됨
전주 중화산동 엘도라도.jpg,전주 중화산동 엘도라도,전주 중화산동 Q,0.7619,🚫 복사 안함 (유사도 낮음)
전주 중화산동 엘림호텔.jpg,전주 중화산동 엘림호텔,전주 중화산동 투썸호텔,0.8333,🚫 복사 안함 (유사도 낮음)
전주 중화산동 카마호텔.jpg,전주 중화산동 카마호텔,전주 중화산동 투썸호텔,0.8333,🚫 복사 안함 (유사도 낮음)
전주 중화산동 투썸스테이.jpg,전주 중화산동 투썸스테이,전주 중화산동 투썸호텔,0.8,🚫 복사 안함 (유사도 낮음)
전주 중화산동 투썸호텔.jpg,전주 중화산동 투썸호텔,전주 중화산동 투썸호텔,1.0,✔ 복사됨
전주 중화산동 파라다이스.jpg,전주 중화산동 파라다이스,전주 중화산동 파라다이스,1.0,✔ 복사됨
전주 중화산동 포레 호텔.jpg,전주 중화산동 포레 호텔,전주 중화산동 투썸호텔,0.8,🚫 복사 안함 (유사도 낮음)
