accommodation_id,name,positive_count,negative_count,positive_percent,negative_percent,sentiment_score
1456,전주 한옥마을 그여자네집한옥독채펜션,3,0,100.0%,0.0%,1.0
1459,전주 산정동 짬,623,151,80.5%,19.5%,0.805
1460,전주 한옥마루펜션,4,3,57.1%,42.9%,0.571
1463,전주 한옥미담 스테이,464,5,98.9%,1.1%,0.989
1464,전주 사계한옥 스테이,18,1,94.7%,5.3%,0.947
1465,전주 한옥마을 경복궁,1,0,100.0%,0.0%,1.0
1468,전주 성심게스트하우스펜션,21,0,100.0%,0.0%,1.0
1469,전주 산야초 한옥스테이,0,1,0.0%,100.0%,0.0
1470,전주 우아동 모로코,1,0,100.0%,0.0%,1.0
1474,전주한옥마을 독채 재우성,2,0,100.0%,0.0%,1.0
1475,전주 시인과짜몽게스트하우스펜션,14,1,93.3%,6.7%,0.933
1476,전주 꽃마르트 한옥스테이,14,1,93.3%,6.7%,0.933
1478,전주한옥마을 독채덕수궁,62,3,95.4%,4.6%,0.954
1479,전주 톡 게스트하우스,3,1,75.0%,25.0%,0.75
1480,전주 부경당 한옥스테이,3,0,100.0%,0.0%,1.0
1481,전주 자요 게스트하우스,3,0,100.0%,0.0%,1.0
1482,전주 산정동 큐피트,2,8,20.0%,80.0%,0.2
1483,전주 앤 게스트하우스,2,2,50.0%,50.0%,0.5
1484,전주 모꼬지 한옥스테이,257,2,99.2%,0.8%,0.992
1485,전주 혜윰 한옥스테이,31,0,100.0%,0.0%,1.0
1486,전주 그네 한옥스테이,8,1,88.9%,11.1%,0.889
1487,전주 우아동 올렛,8,4,66.7%,33.3%,0.667
1488,전주 금암동 아리랑 호텔,21,5,80.8%,19.2%,0.808
1489,전주 우아동 호텔 야,813,132,86.0%,14.0%,0.86
1490,전주 고사동 게스트하우스,2,0,100.0%,0.0%,1.0
1491,전주 한옥숙박체험관,1,2,33.3%,66.7%,0.333
1492,전주 교동외갓집 한옥스테이,3,0,100.0%,0.0%,1.0
1493,전주 몽유화원 한옥스테이,13,1,92.9%,7.1%,0.929
1494,전주 라온 꿀잠 한옥스테이,3,0,100.0%,0.0%,1.0
1495,전주 은행로 86.2 게스트하우스,2,1,66.7%,33.3%,0.667
1496,전주 우아동 큐브 505 (CUBE 505),825,169,83.0%,17.0%,0.83
1497,전주 덕진동 호텔 쏘울(Hotel Soul),620,134,82.2%,17.8%,0.822
1498,전주 산정동 호텔 에이플러스(A+),447,35,92.7%,7.3%,0.927
1499,전주 소담소담펜션,21,9,70.0%,30.0%,0.7
1500,전주 스마트24nFG,5,0,100.0%,0.0%,1.0
1502,전주 우아동 우아장,1,2,33.3%,66.7%,0.333
1503,전주 덕진동 핀앤핏하우스,617,146,80.9%,19.1%,0.809
1504,전주 산정동 NABI(나비),144,26,84.7%,15.3%,0.847
1505,전주 노이 호텔,313,46,87.2%,12.8%,0.872
1506,전주 하운드호텔 전주아중지구,171,12,93.4%,6.6%,0.934
1507,전주 YAJA전주한옥마을점,423,165,71.9%,28.1%,0.719
1508,전주 호텔루고RUGO,217,9,96.0%,4.0%,0.96
1509,전주 호텔 시그니처Signature,691,14,98.0%,2.0%,0.98
1510,전주 와이케이,992,58,94.5%,5.5%,0.945
1511,전주 테라호텔,693,66,91.3%,8.7%,0.913
1512,전주 이야기펜션,65,0,100.0%,0.0%,1.0
1513,전주 호텔 늘,1304,203,86.5%,13.5%,0.865
1514,솔 호텔,236,27,89.7%,10.3%,0.897
1515,전주 브라운도트 중화산동점,407,23,94.7%,5.3%,0.947
1516,전주 칸,1390,109,92.7%,7.3%,0.927
1517,전주 황금,2903,94,96.9%,3.1%,0.969
1518,전주 후,2210,246,90.0%,10.0%,0.9
1519,전주 스테이노트,28,1,96.6%,3.4%,0.966
1520,전주 한옥마을 한지꿀잠,66,10,86.8%,13.2%,0.868
1521,전주 그랜드힐스턴 호텔,138,13,91.4%,8.6%,0.914
1522,전주한옥마을 독채 덕수궁 별관,20,0,100.0%,0.0%,1.0
1523,전주 구름채 게스트하우스,232,13,94.7%,5.3%,0.947
1524,전주 한옥마을 골목길 게스트하우스,232,17,93.2%,6.8%,0.932
1525,전주 한옥 몽유화원,71,16,81.6%,18.4%,0.816
1526,전주 Stay 테오리아,10,0,100.0%,0.0%,1.0
1527,전주 마음엔뜰,8,0,100.0%,0.0%,1.0
1528,전주 뷰티,448,46,90.7%,9.3%,0.907
1529,전주 기린 게스트하우스,127,17,88.2%,11.8%,0.882
1530,전주 엠파이어,151,22,87.3%,12.7%,0.873
1531,전주 1박2일,227,25,90.1%,9.9%,0.901
1532,전주 대화사우나,399,10,97.6%,2.4%,0.976
1533,전주 한옥마을 교동가온,47,0,100.0%,0.0%,1.0
1534,전주한옥마을 메종 14,35,0,100.0%,0.0%,1.0
1535,전주 슈페리어,464,40,92.1%,7.9%,0.921
1536,전주 한옥마을 한옥이야기,43,1,97.7%,2.3%,0.977
1537,전주 스테이 일상이상,3,0,100.0%,0.0%,1.0
1538,전주 여가,11,0,100.0%,0.0%,1.0
1539,전주 풍류가옥,4,1,80.0%,20.0%,0.8
1540,전주 한옥마을 경기전 별당채,154,2,98.7%,1.3%,0.987
1541,전주 원색명화마을,52,2,96.3%,3.7%,0.963
1542,전주 그날을담다,3,0,100.0%,0.0%,1.0
1543,전주한옥마을 서학의 아침 펜션,4,0,100.0%,0.0%,1.0
1544,전주 한옥스테이 까치,4,0,100.0%,0.0%,1.0
1545,전주 한옥 황토 편백하우스,56,2,96.6%,3.4%,0.966
1546,전주 호텔 캐슬,113,24,82.5%,17.5%,0.825
1547,전주 한옥 도원,18,0,100.0%,0.0%,1.0
1548,전주 한옥마을 돌담집 본관,30,3,90.9%,9.1%,0.909
1549,전주한옥마을숙박 향촌 펜션,4,0,100.0%,0.0%,1.0
1550,전주 한옥마을 숙박 체험관,9,1,90.0%,10.0%,0.9
1551,대동고택,11,1,91.7%,8.3%,0.917
1552,전주 더씨티 호텔,370,38,90.7%,9.3%,0.907
1553,전주 줄리앤소피하우스,4,1,80.0%,20.0%,0.8
1554,전주 영화호텔,72,12,85.7%,14.3%,0.857
1555,전주 Y 누리봄 게스트하우스,20,2,90.9%,9.1%,0.909
1556,전주 낭만시대 게스트하우스,58,21,73.4%,26.6%,0.734
1557,전주 무렵,2,0,100.0%,0.0%,1.0
1558,전주 한옥마을 가은채,15,1,93.8%,6.2%,0.938
1559,전주 한옥마을 뜨레가,1,1,50.0%,50.0%,0.5
1560,전주 아침정원 게스트하우스,3,1,75.0%,25.0%,0.75
1561,하록당,2,0,100.0%,0.0%,1.0
1562,전주한옥마을 독채 덕수궁 2관,1,0,100.0%,0.0%,1.0
1563,전주 스테이 여유,1,0,100.0%,0.0%,1.0
1564,전주한옥마을 독채 수,1,0,100.0%,0.0%,1.0
1565,전주 한옥마을 천년마루,1,10,9.1%,90.9%,0.091
