accommodation_id,name,positive_count,negative_count,positive_percent,negative_percent,sentiment_score
1284,전주 소소한 한옥,346,1,99.7%,0.3%,0.997
1285,전주 한옥마을 꼴 게스트하우스,72,5,93.5%,6.5%,0.935
1286,전주 분 게스트하우스,22,0,100.0%,0.0%,1.0
1287,전주 한옥마을 스테이선선,2,0,100.0%,0.0%,1.0
1288,전주 봄날,1,0,100.0%,0.0%,1.0
1289,전주 한옥마을 예당한옥펜션,2,0,100.0%,0.0%,1.0
1290,전주 효자동 캐슬,19,10,65.5%,34.5%,0.655
1291,전주 더머뭄 한옥스테이,369,6,98.4%,1.6%,0.984
1292,전주 푸른솔펜션,10,0,100.0%,0.0%,1.0
1293,전주 한옥이야기 스테이,10,0,100.0%,0.0%,1.0
1294,전주 금암동 나라,6,3,66.7%,33.3%,0.667
1295,전주 한옥마을 산민재펜션,1,0,100.0%,0.0%,1.0
1296,전주 어린왕자게스트하우스,67,1,98.5%,1.5%,0.985
1297,전주 좋은날 한옥스테이,144,2,98.6%,1.4%,0.986
1298,전주 어사화 한옥스테이,1,0,100.0%,0.0%,1.0
1299,전주 한옥토박이펜션,2,0,100.0%,0.0%,1.0
1300,전주 우아동 CF(씨에프),9,2,81.8%,18.2%,0.818
1301,전주 소리풍경 한옥스테이,68,4,94.4%,5.6%,0.944
1302,전주 한옥마을서쪽독채펜션,4,0,100.0%,0.0%,1.0
1303,전주 연우당 한옥스테이,103,0,100.0%,0.0%,1.0
1305,전주 중앙동 감영루 한옥텔,134,44,75.3%,24.7%,0.753
1306,전주 우아동 아미르,920,187,83.1%,16.9%,0.831
1307,전주 청나루한옥펜션,1,0,100.0%,0.0%,1.0
1309,전주 참다원 한옥스테이,10,1,90.9%,9.1%,0.909
1310,전주 우아동 레드,2,3,40.0%,60.0%,0.4
1311,전주 한옥마을금원당한옥펜션,1,0,100.0%,0.0%,1.0
1312,전주 금암동 쇼 드라이브인,25,2,92.6%,7.4%,0.926
1313,전주 한옥마을사랑가득펜션,206,20,91.2%,8.8%,0.912
1314,전주 한옥펜션 첼로네,4,0,100.0%,0.0%,1.0
1316,전주 한옥마을 나무그늘펜션,2,0,100.0%,0.0%,1.0
1318,전주 청사초롱 태조로점,2,1,66.7%,33.3%,0.667
1319,전주 한옥솔솔 스테이,127,5,96.2%,3.8%,0.962
1320,전주 한옥마을김명옥숙박문화관펜션,2,0,100.0%,0.0%,1.0
1321,전주 한옥마을풍남헌고택펜션,2,0,100.0%,0.0%,1.0
1322,전주 한옥마을홍시한옥펜션,1,0,100.0%,0.0%,1.0
1323,전주 한옥마을숙박 가인당 안채,3,0,100.0%,0.0%,1.0
1324,전주 유정 게스트하우스,34,4,89.5%,10.5%,0.895
1325,전주 한옥마을 풍경게스트앤호텔,2,0,100.0%,0.0%,1.0
1326,전주 달달잠 한옥스테이,4,0,100.0%,0.0%,1.0
1327,전주 한옥마을 풍남주택펜션,30,1,96.8%,3.2%,0.968
1328,전주 우아동 월드,16,0,100.0%,0.0%,1.0
1329,전주 우아동 블랙스톤,2,1,66.7%,33.3%,0.667
1332,전주 가원당 한옥스테이,6,3,66.7%,33.3%,0.667
1333,전주 서노송동 기린장,14,0,100.0%,0.0%,1.0
1334,전주 한옥마을 사진작가의집 오목헌,5,0,100.0%,0.0%,1.0
1335,전주 한옥 이택구 사랑채 펜션,38,3,92.7%,7.3%,0.927
