name,count
전주관광호텔,31
칼튼힐 호텔 전주,31
전주한옥마을 풍남주택,31
전주한옥마을 아침스테이,30
투썸스테이 서신점,30
전주 스테이노트,29
전주 한옥마을 다정 게스트하우스,28
전주 한옥마을 고현당,28
전주 한옥마을 감영루,28
전주 니어리스트 게스트하우스,28
전주 아늑료칸호텔 전주점,27
전주 한옥마을 한옥마당 행랑채,27
전주 라임 무인텔,25
전주 한옥마을 유정 게스트하우스,24
호텔어라이브 전주 시화연풍,24
전주 누리봄 게스트하우스,23
전주 해밀 펜션,23
전주 한옥마을 가은채,22
전주한옥마을 독채 덕수궁 별관,22
전주 쑈드라이브인,20
전주 한옥마을 강령전,20
스마일호텔,20
전주 한옥마을 성심,20
전주 한옥마을 여별,20
전주 한옥마을 행복가득,19
전주 한옥 사계,19
전주 한옥 도원,18
전주 한옥마을 혜윰,17
전주 한옥마을 별빛 쉼터,16
전주 민트 게스트하우스,16
전주 료칸호텔엣지,16
전주한옥마을에 위치한 감성 숙소 전주 안녕 제제 옥상달빛,14
이츠 호텔 전주,14
전주 한옥 독채 꽃마르트,13
전주 래미안스테이,13
도심속 골목가에 위치한 고즈넉한 분위기 속 편안함 대동고택,13
전주 하운드호텔 덕진공원점,13
전주 스테이 호텔,12
전주 시인과짜몽 게스트하우스,12
전주 여가,12
전주 한옥마을 고희,12
전주 한옥마을 돌담집 본관,12
전주 한옥마을 돌담집 안채,12
한옥마을 내 위치한 독채 한옥 숙소 참다원,11
전주 한옥마을 돌담집 별관,11
전주 한옥마을 천년마루,11
한 팀만을 위한 독채한옥 전주 소소정,11
전주 한옥마을 숙박 체험관,11
전주한옥마을 온유,11
별둘 자쿠지 독채 펜션,10
전주 한옥마을 뜰안채 본관,10
전주한옥마을 예술가의집 시간무늬,10
전주 호텔 포레,10
전주 테오리아,10
전주 한옥마을 달빛향,10
반려동물 동반 가능 독채 감성숙소 향교길선우가,9
전주 한옥마을 분 게스트하우스,9
전주 한옥마을 한옥마당 본채,8
전주한옥마을 하늘기와,8
평 예쁘고 넓은 마음엔뜰 독채 숙소 전주 마음엔뜰,8
전주 그리고봄 독채펜션,7
전주한옥마을에 위치한 감성 숙소 전주 안녕 제제 아침고요,7
호텔 시그니처 중화산동점,7
전주 한옥마을 그림 게스트하우스,7
전주한옥마을 알지비 게스트하우스,7
전주한옥마을 도화서가 스테이 독채펜션,6
전주 푸실 한옥펜션,6
