name,count
전주 더그레이호텔,294
전주 덕진동 하운드호텔 전주덕진,293
전주 스페셜,290
전주 박일,290
전주 우아동 프린스,288
전주 더케이,288
전주 중화산동 몽블랑,287
전주 브라운도트 덕진점,285
전주 루이호텔,284
솔 호텔,283
전주 한옥마을 골목길 게스트하우스,283
전주 중화산동 YAJA 중화산점,282
전주관광호텔,280
전주 그랜드힐스턴호텔,277
전주 우아동 호텔 자우리,275
전주 호텔 엑스오,275
전주 한옥체험 모꼬지,275
전주 중화산동 브라이튼 호텔(BRIGHTEN HOTEL),267
전주 구름채 게스트하우스,265
전주 우아동 브라운도트 전주아중지구점,260
전주 신시가지 호텔 아이,260
전주 중화산동점,258
신라스테이 전주,256
전주 중화산동 MH HOTEL 중화산점,255
전주 한옥마을 한옥미담,252
늘품호텔,246
전주 신시가지 제이메이트 호텔,245
전주 릴렉스호텔,243
전주 갤러리 스테이,238
전주 호텔루고,236
전주 한옥미담 스테이,232
전주 한옥마을 인디고,229
전주 이츠호텔,229
전주 신시가지 호텔 폭스-FOX 2.0,229
전주 우아동 래미안,229
전주 호텔아이,226
전주 산정동 호텔토랑,226
임실 숨펜션,225
한옥호텔 궁,223
전주 한옥마을 알콩달콩 다락방,219
전주 이카로스,217
전주 호텔폭스,217
전주 어썸호텔,217
전주 엘림호텔,214
전주 한옥마을사랑가득펜션,214
호텔 오페라,214
전주 서신동 투썸스테이,209
전주 중화산동 엘림호텔,207
전주 라베호텔,207
전주 호텔야자 전주터미널점,206
전주 한옥마을 산아래,205
전주 신시가지 타임,204
게스트하우스 전주점,202
전주 하운드호텔 전주아중지구,201
전주 중화산동 알프스,201
전주 스타 호텔,200
전주 산정동 돈키호테 드라이브인,199
전주 엠파이어,199
완주 칸 드라이브인 무인텔(KAN),199
전주 산정동 아리아,199
전주 우아동 필,197
전주 산정동 써밋스테이 호텔,194
전주 여지 게스트하우스,193
전주 하운드호텔 터미널점,182
전주 마리호텔 덕진공원점,182
전주 별자리 한옥스테이,182
전주 신시가지 호텔 아지트,181
전주 중화산동 호텔 루고(RUGO),180
전주 오페라 21,180
아늑호텔 전주점,179
전주 금암동 호텔 K,179
호텔야자 전주터미널점,178
전주 루엘호텔 덕진공원 본점,178
전주 타임,178
전주 마리 호텔,178
전주 한옥마을 별자리,178
전주 씨투,177
전주 한옥마을 한옥고택 고을,176
전주 호텔,175
전주 우아동 호텔 어반스테이 아중점,175
전주 투썸스테이서신점,175
전주 타미호텔,173
전주 중앙동 감영루 한옥텔,172
전주 별자리한옥스테이펜션,171
재즈 어라운드 관광 호텔,170
전주 갤러리스테이,168
전주 그랜드힐스턴 호텔,167
전주 취락당 한옥스테이,167
전주 이가 한옥 본관,165
이비스 스타일 앰배서더호텔 전주,163
전주 호텔다빈,163
전주 뜰안채펜션,160
전주 기린 게스트하우스,160
전주 금암동 황토,159
전주 산정동 테라,159
전주 온고을 한옥스테이,158
베니키아 전주한성호텔,157
전주 정가한옥 & 더정가 스테이,157
전주 한옥마을 경기전 별당채,156
전주 호텔 캐슬,153
전주 신시가지 애플,153
전주 호텔모아,152
전주 한옥마을 꽃밭정원 예쁜집 좋은날,149
전주 정가 한옥,147
전주 우아동 명품 HOTEL,147
전주 경원동 호텔 다빈(HOTEL DAVIN),145
전주 한옥마을 덕수궁 한옥스테이,144
전주 비지니스 호텔 궁,143
전주 경기전별당채펜션,142
전주 에이치에비뉴 덕진점,141
전주 더클래식 바이 호텔원,136
전주 애플모텔,136
전주 우아동 아미르,136
전주 투썸스테이중화산점,135
전주 쉐르빌,134
전주 돈키호테 드라이브인 무인텔,133
전주 한옥마을 한옥미쁨,133
하운드호텔 전주아중지구,132
전주 한옥마을담소황토펜션,131
전주 진북동 경동,130
전주 우아동 첫마중,128
전주 타임 호텔,127
전주 신시가지 호텔 U,127
전주 한옥마을 담소 황토 한옥,126
전주 한옥마을 한옥솔솔,126
전주 에비뉴 호텔,124
전주 우아동 박스호텔,124
전주 데이나이스,124
전주 한옥마을 어울림,123
전주 산정동 NABI(나비),122
전주 산정동 제이브라운 호텔,122
전주 교동살래 한옥스테이,118
전주 금암동 어썸호텔,117
전주 한옥마을 비하녹,116
전주 금암동 로즈마리,115
전주 호텔 객리단길점,113
호텔 아라리,112
화이트 관광호텔,107
전주 코아,106
전주 중화산동 프린스,105
호텔 에코스테이,103
24게스트하우스 전주점,101
전주 도란도란카라반글램핑펜션,101
호텔 바라한,101
전주 영화호텔,99
전주 호텔 아라리,99
전주 낭만시대 게스트하우스,99
전주 루엘호텔 덕진공원본점,97
전주 한옥 몽유화원,97
이비스 스타일 앰배서더 전주,94
전주한옥마을 연우당,94
전주 재즈어라운드호텔,94
전주 라온 호텔,94
전주 동산동 편백,93
완주 혁신도시 드래곤호텔,93
전주 호스텔게스트하우스,93
전주 바른 숙박,93
전주 한옥마을 한지꿀잠,93
블루보트 게스트하우스 전주점,93
전주 별빛쉼터 한옥스테이,92
전주 중화산동 라베호텔(LABE HOTEL),88
전주 씨네마,87
베니키아 전주 한성 호텔,86
위너 호텔,86
전주 산정동 호텔 에이플러스(A+),85
전주 전주한옥마을웨이펜션,84
전주 나비잠한옥호텔,84
전주 우아동 쉐르빌,84
전주 진북동 장미,83
전주 수호텔,82
전주 로니관광호텔,81
전주 비지트호텔(VIZIT),80
전주 한옥마을 꼴 게스트하우스,79
전주 산정동 호텔 샾(Hotel Sharp),79
신라스테이 전주 한옥마을,79
전주 한옥마을 서선야,79
전주 호텔토랑,79
호텔 토랑 전주,76
전주 브라이튼호텔,75
전주 우아동 에이치호텔,75
전주 더 메이 호텔,74
전주 MH HOTEL 객리단길점,74
전주 한옥마을 교동살래,73
전주 우아동 HOTEL SOL(솔),72
전주 한옥마을 어린왕자 게스트하우스,72
전주 한옥호텔 태조궁,72
전주한옥마을 웨이,69
전주 한옥마을 여지 게스트하우스,69
전주 나비,69
전주 호텔 중화산동점,68
전주 서로 한옥펜션,68
전주한옥마을 독채 덕수궁,68
전주 덕진동 H Avenue 전주덕진점(신관),67
전주 금암동 타임,66
전주 한옥마을 소리풍경,65
에이치에비뉴 덕진점,65
전주 이야기펜션,65
전주 더머뭄 한옥스테이,65
전주한옥호텔 태조궁,64
칼튼힐 전주,64
전주 풍남가족호텔 구 풍남관광호텔,62
전주 한옥 황토 편백하우스,62
전주 우아동 임페리얼,62
전주 하루 호텔,61
전주 니어리스트 게스트하우스,61
전주 한옥마을 그리운 집,61
전주 바라한호텔,60
전주 한옥마을 예원당,60
호텔어라이브 전주 시화연풍,59
전주 한옥마을 꽃자리,59
전주 금암동 아늑 료칸호텔 (터미널점),58
전주 중앙동 라온 호텔,58
전주 금암동 신성파크텔,57
전주 원색명화마을,55
전주 투헤븐호텔,55
전주 서선야 한옥스테이,54
전주 다나하루 게스트하우스,53
전주 경기전 별당채 한옥스테이,52
전주 한옥마을 이택구 사랑채,52
전주 한옥마을 장수,52
나비잠한옥호텔,51
전주 한옥마을 다나하루 게스트하우스,51
전주 스테이 호텔(stay),50
전주 블루보트 게스트하우스,50
전주 그리운집 한옥스테이,50
전주 도원 게스트하우스,50
전주 꽃잠펜션,49
전주 별빛궁 한옥스테이,49
전주 한옥마을 교동가온,49
전주 우아동 어제처럼,48
전주 한옥마을 사랑가득,48
전주 중노송동 파인,48
완주 델루나펜션,48
전주 어울림 한옥스테이,48
전주 한옥 영하우스,47
전주 오래된미래 게스트하우스,46
전주 한옥마을 한옥이야기,45
전주 호텔 라임,45
더정가 스테이,45
전주 스마일호텔,44
전주 중화산동 호텔사운즈,44
넘버호텔 전주산정점,43
