name,count
전주 라베호텔(LABE HOTEL),714
호텔 다빈,697
전주 중화산동 화려한외출Ⅱ,686
전주 산정동 호텔 감스테이,679
전주 금암동 호텔 화이트(HOTEL WHITE),679
전주 우아동 이츠 호텔,675
전주 중화산동 Q,672
전주 중화산동 호텔 시그니처 (Signature),664
전주 중화산동 브라운도트 전주중화산점,659
전주 송천동 호텔 더 그레이(THE GRAY),623
전주 금암동 토마토,621
전주 신시가지 씨투,615
전주 덕진동 핀앤핏하우스,598
전주 중화산동 스페셜,545
전주혁신도시 호텔원,539
전주 우아동 소울,525
전주 산정동 에이치에비뉴(H Avenue) 전주아중지구점,524
전주 산정동 아늑 호텔,512
전주 우아동 호텔 라임(HOTEL LIME),477
전주 신시가지 호텔 메세지,475
전주 카마호텔,458
전주 경원동 경원,458
전주 신시가지 호텔 팝,453
완주 혁신도시 만상 호텔(MANSANG HOTEL),449
전주 중화산동 투썸호텔,442
완주 호텔 아리아(HOTEL ARIA),436
전주 한옥호텔 궁,433
전주 재즈어라운드 호텔,428
전주 다온호텔,413
전주 우아동 호텔 위너(HOTEL WINNER),403
전주 중앙동 한옥호텔 궁,402
전주 중화산동 호텔 더 케이,393
전주 우아동 한옥 HOTEL,374
전주 서신동 호텔 아지트,372
전주한옥마을 황실관광호텔,370
전주 중화산동 카마호텔,370
전주 신시가지 쿡,364
전주 신시가지 데이나이스,364
전주 우아동 FX,358
전주 중화산동 스타 호텔(star hotel),347
전주 엔브릿지호텔,346
웨스턴라이프호텔,340
전주 산정동 짬,338
전주 정가한옥스테이,333
전주 관광호텔 꽃심,332
전주 산정동 호텔 카누(HOTEL KANU),331
전주 금암동 투헤븐,327
전주 금암동 비지니스 호텔 궁,326
전주 마리호텔 터미널점,323
전주 우아동 호텔 노이(HOTEL NEUE),316
전주 우아동 하얏트,304
전주 금암동 스토리 무인텔,301
전주 금암동 하운드 전주터미널,297
전주 산정동 바른 숙박 (BARUN STAY),295
전주 덕진동 하운드호텔 전주덕진,293
전주 우아동 프린스,288
전주 중화산동 몽블랑,287
전주 중화산동 YAJA 중화산점,282
전주 그랜드힐스턴호텔,277
전주 우아동 호텔 자우리,275
글로스터호텔 전주,271
전주 왕의지밀 한옥호텔,270
전주 중화산동 브라이튼 호텔(BRIGHTEN HOTEL),267
전주 우아동 브라운도트 전주아중지구점,260
전주 신시가지 호텔 아이,260
신라스테이 전주,256
전주 중화산동 MH HOTEL 중화산점,255
전주관광호텔,249
전주 신시가지 제이메이트 호텔,245
전주 한옥미담 스테이,232
전주 신시가지 호텔 폭스-FOX 2.0,229
전주 우아동 래미안,229
전주 산정동 호텔토랑,226
임실 숨펜션,225
전주 한옥마을사랑가득펜션,214
전주 서신동 투썸스테이,209
전주 중화산동 엘림호텔,207
전주 신시가지 타임,204
전주 중화산동 알프스,201
완주 칸 드라이브인 무인텔(KAN),199
전주 산정동 돈키호테 드라이브인,199
전주 산정동 아리아,199
전주 우아동 필,197
전주 산정동 써밋스테이 호텔,194
전주 시그니처 호텔,194
전주 여지 게스트하우스,193
전주 마리호텔 덕진공원점,182
전주 별자리 한옥스테이,182
전주 신시가지 호텔 아지트,181
전주 중화산동 호텔 루고(RUGO),180
전주 오페라 21,180
전주 금암동 호텔 K,179
전주 마리 호텔,178
호텔야자 전주터미널점,178
전주 우아동 호텔 어반스테이 아중점,175
