name,category,rating_score,rating_count,address
전주 호텔폭스FOX 20,모텔,9.6,264,전북특별자치도전주시 완산구 효자동3가 1532-7
전주 하운드호텔덕진점,모텔,9.7,564,전북특별자치도 전주시 덕진구 덕진동1가 1342-9
전주 넘버25 NO25 산정점,모텔,9.7,723,전북특별자치도 전주시 덕진구 산정동 875-13
전주 브라운도트전주터미널점,모텔,9.7,574,전북특별자치도전주시 덕진구 금암동 763-11
전주 다빈호텔,호텔관광,9.2,634,전북특별자치도전주시 완산구 경원동1가 128-18
전주 호텔 더 빈센트,호텔비즈니스,9.8,276,전북특별자치도 전주시 완산구 전동 126-6
전주 어썸호텔,모텔,9.6,346,전북특별자치도 전주시 덕진구 금암동 763-1
전주 루이호텔,모텔,9.3,421,전북특별자치도 전주시 완산구 중화산동2가 664
전주 호텔젠,모텔,9.5,2131,전북특별자치도 전주시 덕진구 우아동2가 924-8
전주 화려한외출2,모텔,8.6,1914,전북특별자치도 전주시 완산구 중화산동2가 142-19
전주 소소한 한옥,게하 · 한옥,10.0,348,전북특별자치도 전주시 완산구 풍남동2가 11-2
전주 제이브라운,모텔,9.8,981,전북특별자치도 전주시 덕진구 산정동 860-2
전주 호텔 달빛소리 드라이브인,모텔,9.4,1508,전북특별자치도 전주시 덕진구 산정동 867-4
전주 더그레이호텔,모텔,9.4,331,전북특별자치도 전주시 덕진구 송천동2가 1333-7
전주 칸,모텔,9.5,1989,전북특별자치도 전주시 덕진구 산정동 861-9
전주 엘도라도,모텔,9.3,574,전북특별자치도 전주시 완산구 중화산동2가 657-3
전주 데이나이스,모텔,9.3,140,전북특별자치도전주시 완산구 효자동3가 1532-1
전주 쿡,모텔,9.3,484,전북특별자치도전주시 완산구 효자동3가 1537-8
전주 에코스테이 호텔,모텔,9.6,449,전북특별자치도전주시 덕진구 송천동2가 1334-2
전주 황금,모텔,9.7,3666,전북특별자치도 전주시 덕진구 금암동 697-9
전주 호텔루나,모텔,9.6,1224,전북특별자치도 전주시 덕진구 우아동2가 923-3
전주 풍남가족호텔 구 풍남관광호텔,호텔2성급,9.2,62,전북특별자치도 전주시 완산구 다가동3가 43-2
전주 호텔유,모텔,9.3,379,전북특별자치도 전주시 완산구 효자동3가 1537-9
전주 료칸호텔엣지,모텔,9.9,18,전북특별자치도 전주시 덕진구 산정동 859-3
전주 카누KANU,모텔,9.5,1931,전북특별자치도 전주시 덕진구 산정동 866-2
전주 카마호텔,모텔,9.7,308,전북특별자치도 전주시 완산구 중화산동2가 142-1
