name,category,rating_score,rating_count,address
전주 한옥마을 푸른요람,게하 · 한옥,10.0,4,전라북도 전주시 완산구 교동 80-12
전주 한옥마을 오목헌,게하 · 한옥,9.6,5,전북특별자치도전주시 완산구 교동 91-10
전주 씨네마,모텔,8.4,94,전북특별자치도 전주시 완산구 고사동 464-1
전주한옥마을숙박 향촌 펜션,펜션,9.2,4,전북특별자치도 전주시 완산구 풍남동3가 89-2
전주 한옥 사계,게하 · 한옥,9.5,19,전라북도 전주시 완산구 서서학동 256-3
전주 한옥마을 숙박 체험관,게하 · 한옥,9.5,12,전라북도 전주시 완산구 풍남동3가 72-4
전주 한옥마을 한옥마당 행랑채,게하 · 한옥,9.4,28,전북특별자치도전주시 완산구 교동 209-1
대동고택,홈&빌라,9.2,13,전북특별자치도전주시 완산구 태평동 102-32
전주 니어리스트 게스트하우스,게하 · 한옥,9.3,30,전라북도 전주시 완산구 경원동3가 39-5
전주 한옥마을 취락당,게하 · 한옥,9.3,37,전라북도 전주시 완산구 풍남동2가 32-11
한옥호텔 궁,호텔비즈니스,8.9,229,전북특별자치도전주시 완산구 중앙동4가 85-2
전주 한옥마을 한옥마당 본채,게하 · 한옥,9.3,8,전북특별자치도전주시 완산구 교동 209-1
전주 더씨티 호텔,호텔관광,9.4,466,전북특별자치도전주시 완산구 경원동1가 65
전주 이카로스,모텔,9.1,231,전북특별자치도 전주시 덕진구 금암동 700-1
전주 한옥마을 다정 게스트하우스,게하 · 한옥,9.3,31,전라북도 전주시 완산구 경원동1가 126-2
스마일호텔SMILE HOTEL,호텔비즈니스,9.2,22,전북특별자치도전주시 덕진구 덕진동2가 189-14
전주한옥마을 온유,게하 · 한옥,9.2,11,전북특별자치도 전주시 완산구 풍남동3가 16-29
전주한옥마을 김명옥 별장펜션,펜션,9.1,6,전북특별자치도 전주시 완산구 대성동 470-6
호텔 오페라21,호텔1성급,8.8,220,전북특별자치도전주시 덕진구 우아동2가 921-3
전주 줄리앤소피하우스,홈&빌라,9.2,5,전북특별자치도전주시 완산구 중화산동2가 584-7
전주 한옥마을 가은채2,게하 · 한옥,9.2,7,전라북도 전주시 완산구 풍남동3가 54-9
전주 타임,모텔,8.6,204,전북특별자치도 전주시 덕진구 금암동 764-8
전주 안녕 제제 제제,홈&빌라,9.3,4,전북특별자치도전주시 완산구 경원동2가 40-5
전주 한옥마을 돌담집 안채,게하 · 한옥,9.0,12,전북특별자치도전주시 완산구 풍남동3가 76-8
전주 한옥마을 유정 게스트하우스,게하 · 한옥,8.9,24,전북특별자치도 전주시 완산구 경원동2가 40-25
전주 영화호텔,호텔2성급,9.1,104,전북특별자치도전주시 완산구 고사동 462-4
전주한옥마을 나성하우스,게하 · 한옥,9.1,6,전라북도 전주시 덕진구 금암동 1550-16
전주 나비,모텔,8.5,84,전북특별자치도전주시 덕진구 산정동 857-10
전주 Y 누리봄 게스트하우스,게하 · 한옥,8.8,23,전북특별자치도전주시 완산구 동서학동 102-1
전주 한옥마을 돌담집 별관,게하 · 한옥,9.0,11,전북특별자치도전주시 완산구 풍남동3가 76-8
전주 그여자네집 독채펜션,펜션,9.0,4,전북특별자치도 전주시 완산구 교동 39-4
전주 한옥마을 이택구 사랑채,게하 · 한옥,8.9,54,전북특별자치도전주시 완산구 풍남동3가 53-19
전주 호텔 엑스오XO,모텔,8.8,329,전북특별자치도 전주시 덕진구 금암동 699-6
전주 하루 호텔 HARU,호텔비즈니스,9.0,61,전북특별자치도전주시 덕진구 산정동 863-3
전주 안녕 제제 제제의 미학,홈&빌라,9.1,4,전북특별자치도전주시 완산구 경원동2가 40-5
전주 한옥마을 흥부가,게하 · 한옥,8.5,40,전라북도 전주시 완산구 풍남동3가 67-25 흥부가
전주 래미안스테이,모텔,8.7,16,전북특별자치도전주시 덕진구 우아동2가 925-4
전주 한옥마을 고현당,게하 · 한옥,8.7,29,전북특별자치도 전주시 완산구 풍남동3가 16-13
전주 낭만시대 게스트하우스,게하 · 한옥,8.4,111,전라북도 전주시 완산구 경원동1가 12-3 2F
전주 로니관광호텔,호텔3성급,8.6,82,전북특별자치도전주시 완산구 고사동 186
전주 쉐르빌,모텔,8.2,145,전북특별자치도 전주시 덕진구 우아동2가 931-11
호텔 시그니처 중화산동점,호텔비즈니스,8.5,7,전북특별자치도전주시 완산구 중화산동2가 657-6
전주 한옥마을 감영루,게하 · 한옥,8.2,29,전라북도 전주시 완산구 중앙동4가 52
전주 한옥마을 가원당,게하 · 한옥,8.5,6,전북특별자치도전주시 완산구 교동 79-44
전주한옥마을 알지비 게스트하우스,게하 · 한옥,8.3,7,전라북도 전주시 완산구 교동 223-4
전주 푸실 한옥펜션,펜션,7.8,6,전북특별자치도 전주시 완산구 교동 24-2
전주 한옥마을 다래헌,게하 · 한옥,9.3,3,전라북도 전주시 완산구 풍남동3가 56-4
전주 무렵,홈&빌라,10.0,2,전북특별자치도 전주시 완산구 교동 204-1
전주 한옥마을 가은채,게하 · 한옥,8.1,15,전라북도 전주시 완산구 풍남동3가 38-6
전주 한옥마을 뜨레가,게하 · 한옥,9.2,3,전라북도 전주시 완산구 교동 177-1
전주 한옥마을 하늘풍경,게하 · 한옥,8.4,4,전북특별자치도전주시 완산구 교동 94-4
전주 한옥마을 뜰안채 본관,게하 · 한옥,8.0,11,전라북도 전주시 완산구 경원동2가 47-1
전주관광호텔,호텔1성급,7.5,34,전북특별자치도전주시 완산구 고사동 22
호텔 루고,호텔비즈니스,10.0,2,전북특별자치도 전주시 완산구 중화산동2가 650-2
전주 아침정원 게스트하우스,게하 · 한옥,8.1,5,전북특별자치도 전주시 완산구 원당동 576-31
전주 한옥마을 독채 한옥스테이 선물,홈&빌라,10.0,2,전북특별자치도 전주시 완산구 풍남동3가 84-17
전주 한옥마을 가족한옥숙소 하록당,홈&빌라,10.0,2,전북특별자치도 전주시 완산구 교동 15-6
전주 한옥마을 너울가지,게하 · 한옥,8.4,3,전북특별자치도 전주시 완산구 중앙동4가 74-4
전주 가락청 게스트하우스,게하 · 한옥,10.0,2,전북특별자치도 전주시 완산구 풍남동3가 39-2
전주 한옥마을 서쪽 독채,게하 · 한옥,10.0,2,전북특별자치도 전주시 완산구 풍남동3가 1-27
전주 푸른솔펜션,펜션풀빌라,10.0,2,전북특별자치도전주시 완산구 대성동 488
전주한옥마을 다락,게하 · 한옥,8.1,3,전라북도 전주시 완산구 풍남동3가 87
전주한옥마을 독채 재우성,홈&빌라,9.8,2,전북특별자치도전주시 완산구 풍남동3가 1-28
전주 안녕 제제 온돌방,홈&빌라,7.9,3,전북특별자치도전주시 완산구 경원동2가 40-5
전주한옥마을 독채 덕수궁 2관,펜션,7.8,3,전북특별자치도 전주시 완산구 풍남동3가 67-27
전주한옥마을 달달잠 독채 펜션,펜션,8.7,2,전북특별자치도 전주시 완산구 교동 960-7
전주 나나,모텔,5.8,44,전북특별자치도 전주시 완산구 서서학동 52-2
전주 한옥마을 가인당 안채,펜션,10.0,1,전북특별자치도 전주시 완산구 교동 105-8
전주 와이케이 호텔,호텔비즈니스,7.7,2,전북특별자치도 전주시 덕진구 덕진동1가 1262-2
스테이 선선 하늬,홈&빌라,10.0,1,전북특별자치도 전주시 완산구 전동 13-3
전주 스테이 여유,펜션,9.7,1,전북특별자치도 전주시 완산구 교동 15-16
스테이 선선 산들,홈&빌라,10.0,1,전북특별자치도 전주시 완산구 전동 13-3
전주 한옥마루 게스트하우스,게하 · 한옥,7.2,2,전라북도 전주시 완산구 풍남동3가 16-27
전주 나루 스테이한옥 독채 전주한옥마을,펜션,10.0,1,전북특별자치도 전주시 완산구 교동 178
전주한옥마을 자만재,펜션,10.0,1,전북특별자치도전주시 완산구 교동 129-9
전주한옥마을 달님 게스트하우스,게하 · 한옥,10.0,1,전라북도 전주시 완산구 경원동1가 113-11
전주 앤 게스트하우스,게하 · 한옥,6.2,2,전북특별자치도전주시 완산구 서서학동 188-1
전주한옥마을 독채 수,펜션,8.7,1,전북특별자치도 전주시 완산구 풍남동3가 67-21
전주 비지니스 궁 호텔,호텔비즈니스,6.7,1,전북특별자치도 전주시 덕진구 금암동 700-3
전주 라임 무인텔,모텔,3.1,26,전북특별자치도전주시 덕진구 인후동1가 775-5
전주 한옥마을 천년마루,게하 · 한옥,3.0,12,전북특별자치도전주시 완산구 교동 222-6
전주한옥마을 공간의미 독채펜션,펜션,1.7,2,전북특별자치도 전주시 완산구 교동 54-62
전주 스테이 숨숨,홈&빌라,0.0,0,전북특별자치도전주시 덕진구 금암동 720-32
전주 블루원호텔,호텔비즈니스,2.0,1,전북특별자치도 전주시 덕진구 금암동 699-4
전주 한옥스테이 무와섬W,홈&빌라,0.0,0,전북특별자치도 전주시 완산구 교동 250-8
전주 한옥스테이 무와섬M,홈&빌라,0.0,0,전북특별자치도 전주시 완산구 교동 250-8
스테이춘몽,홈&빌라,0.0,0,전북특별자치도 전주시 완산구 풍남동2가 30-2
전주 늦잠,홈&빌라,0.0,0,전북특별자치도 전주시 완산구 서서학동 188-26
전주 한옥마을 태조마루,게하 · 한옥,0.0,0,전북특별자치도 전주시 완산구 전동 17-3
전주 한옥스테이 담길,펜션,0.0,0,전북특별자치도 전주시 완산구 풍남동3가 41-7
스테이 마중,홈&빌라,0.0,0,전북특별자치도전주시 덕진구 금암동 720-32
전주 사로,홈&빌라,0.0,0,전북특별자치도 전주시 완산구 서서학동 188-24
전주한옥마을 교동 스테이,게하 · 한옥,0.0,0,전북특별자치도 전주시 완산구 풍남동3가 76-40
전주 한옥마을 동락원,게하 · 한옥,0.0,0,전북특별자치도 전주시 풍남동3가 44
전주 감성한옥 하루 독채펜션,펜션,0.0,0,전북특별자치도 전주시 완산구 풍남동3가 54-14
전주 스테이 구월,홈&빌라,0.0,0,전북특별자치도 전주시 완산구 풍남동3가 12-15
전주 대명여관 게스트하우스,게하 · 한옥NEW,0.0,0,전북특별자치도 전주시 완산구 중앙동4가 31-33
전주 한옥마을 한옥이야기 별채,게하 · 한옥,0.0,0,전라북도 전주시 완산구 교동 124-8
전주한옥마을 풍남양옥,게하 · 한옥,0.0,0,전북특별자치도 전주시 완산구 풍남동3가 36-13
메이드호텔,호텔비즈니스,0.0,0,전북특별자치도전주시 덕진구 산정동 871-2
전주 감성숙소 오붓,홈&빌라,0.0,0,전북특별자치도전주시 완산구 서신동 846 2층
전주 동백하우스,게하 · 한옥,0.0,0,전북특별자치도 전주시 동서학동 221-4
전주 천동로 선우가,홈&빌라,0.0,0,전북특별자치도 전주시 완산구 교동 171-4
전주 해피니스온 자쿠지 독채 펜션,펜션,0.0,0,전북특별자치도 전주시 완산구 교동 183-6
전주 한옥 초승달 게스트하우스,게하 · 한옥,0.0,0,전북특별자치도 전주시 완산구 교동 199-3
전주 JJ 게스트하우스,게하 · 한옥,0.0,0,전라북도 전주시 완산구 중노송동 557-13
전주 스타호텔,호텔비즈니스,0.0,0,전북특별자치도전주시 완산구 중화산동2가 661-8
