냄새
담배
불편
불친절
예의
아쉬움
아쉽
별로
그닥
최악
더러움
머리카락
쩐내
오염
낡은
오래되
시끄러움
시끄러운
방음
추운
허름
먼지
추위
소음
노후
낡았고
