name,category,rating_score,rating_count,feature,addr,source,image,lat,lng
전주 MOMENT708,모텔/호텔,4.7,3829,버스터미널2분 종합경기장1분,전북특별자치도 전주시 덕진구 가리내로 126,n,전주 MOMENT708.jpg,35.8361075,127.1227276
전주 YAJA전주한옥마을점,모텔/호텔,4.1,8029,전주시청입구사거리 인근영화의거리도보2분,전북특별자치도 전주시 완산구 전주객사5길 64-4,n,전주 YAJA전주한옥마을점.jpg,35.8208666,127.1453295
이비스 스타일 앰배서더호텔 전주,모텔/호텔,4.7,172,전주한옥마을 근처에 위치,전북특별자치도 전주시 완산구 전주객사4길 74-50,n,이비스 스타일 앰배서더호텔 전주.jpg,35.8208252,127.1443089
전주 마리 터미널점,모텔/호텔,4.8,5443,버스터미널1분전주역10분한옥마을10분,전북특별자치도 전주시 덕진구 용산3길 21,n,전주 마리 터미널점.jpg,35.8360318,127.1333311
전주 호텔 시그니처Signature,모텔/호텔,5.0,986,전주한옥마을차량10분전주막걸리거리 8분,전북특별자치도 전주시 완산구 한두평4길 5-4,n,전주 호텔 시그니처Signature.jpg,35.8160662,127.1238949
전주 산정동 아늑 호텔,모텔/호텔,4.9,590,전주역 차량 5분,전북특별자치도 전주시 덕진구 산정3길 37,n,전주 산정동 아늑 호텔.jpg,35.8389853,127.1684764
전주 한빛호텔,모텔/호텔,4.9,856,전주한옥마을 도보 1분 거리,전북특별자치도 전주시 완산구 기린대로 102,n,전주 한빛호텔.jpg,35.8185607,127.1549797
전주 카마호텔,모텔/호텔,4.8,575,한옥마을 10분 막걸리거리 8분,전북특별자치도 전주시 완산구 한두평2길 8-9,n,전주 카마호텔.jpg,35.8128247,127.1237544
전주 우아동 브라운도트 전주아중지구점,모텔/호텔,4.7,358,한옥마을5분전주역2분전북대학교10분,전북특별자치도 전주시 덕진구 아중중앙로 30,n,전주 우아동 브라운도트 전주아중지구점.jpg,35.8308778,127.171979
전주 우아동 센트,모텔/호텔,4.9,2226,전주역도보3분버스터미널10분,전북특별자치도 전주시 덕진구 동부대로 673-6,n,전주 우아동 센트.jpg,35.8486201,127.1601617
전주 우아동 한옥 HOTEL,모텔/호텔,4.9,2849,한옥마을 8분 전주역 5분 터미널 10분,전북특별자치도 전주시 덕진구 아중4길 13,n,전주 우아동 한옥 HOTEL.jpg,35.8303421,127.1738928
전주 스타 호텔,모텔/호텔,4.7,523,한옥마을 8분 막걸리거리 6분,전북특별자치도 전주시 완산구 한두평2길 9,n,전주 스타 호텔.jpg,35.813725,127.1239739
전주 정가 한옥,펜션,4.7,361,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 기린대로 78-3,n,전주 정가 한옥.jpg,35.8163403,127.155117
